"vid","trial","lat.asl","Count.asl","Desc.asl","dotpos","lat.el","Count.el","Desc.el"
"3499RR02",1,191,0,"",514,207,2,""
"3499RR02",10,199,2,"",1661,47,-1,"early saccade"
"3499RR02",100,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-74762,-1,"early saccade"
"3499RR02",101,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-80762,-1,"early saccade"
"3499RR02",102,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-86762,-1,"early saccade"
"3499RR02",103,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-92762,-1,"early saccade"
"3499RR02",104,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-98762,-1,"early saccade"
"3499RR02",105,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-104762,-1,"early saccade"
"3499RR02",106,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-110762,-1,"early saccade"
"3499RR02",107,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-116762,-1,"early saccade"
"3499RR02",108,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-122762,-1,"early saccade"
"3499RR02",109,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-128762,-1,"early saccade"
"3499RR02",11,151,2,"",1406,32,-1,"early saccade"
"3499RR02",110,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-134761,-1,"early saccade"
"3499RR02",111,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-140761,-1,"early saccade"
"3499RR02",12,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-1432,-1,"early saccade"
"3499RR02",13,288,1,"",259,96,1,""
"3499RR02",14,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-1764,-1,"early saccade"
"3499RR02",15,188,2,"",514,182,2,""
"3499RR02",16,NA,-1,"no saccades (getSacs)",259,302,1,""
"3499RR02",17,198,2,"",1406,198,2,""
"3499RR02",18,231,2,"",96,230,2,""
"3499RR02",19,182,2,"",1406,178,2,""
"3499RR02",2,249,0,"",1661,267,2,""
"3499RR02",20,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-294,-1,"early saccade"
"3499RR02",21,147,0,"",514,110,2,""
"3499RR02",22,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-4070,-1,"early saccade"
"3499RR02",23,316,1,"",1661,314,0,""
"3499RR02",24,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-1714,-1,"early saccade"
"3499RR02",25,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-7714,-1,"early saccade"
"3499RR02",26,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-13713,-1,"early saccade"
"3499RR02",27,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-19713,-1,"early saccade"
"3499RR02",28,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-25713,-1,"early saccade"
"3499RR02",29,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-6988,-1,"early saccade"
"3499RR02",3,231,2,"",1824,251,2,""
"3499RR02",30,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-12989,-1,"early saccade"
"3499RR02",31,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-18989,-1,"early saccade"
"3499RR02",32,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-24989,-1,"early saccade"
"3499RR02",33,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-2864,-1,"early saccade"
"3499RR02",34,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-8864,-1,"early saccade"
"3499RR02",35,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-4704,-1,"early saccade"
"3499RR02",36,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-10704,-1,"early saccade"
"3499RR02",37,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-3872,-1,"early saccade"
"3499RR02",38,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-9872,-1,"early saccade"
"3499RR02",39,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-15872,-1,"early saccade"
"3499RR02",4,187,2,"",96,203,2,""
"3499RR02",40,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-21872,-1,"early saccade"
"3499RR02",41,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-27872,-1,"early saccade"
"3499RR02",42,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-33872,-1,"early saccade"
"3499RR02",43,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-47805,-1,"early saccade"
"3499RR02",44,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-53805,-1,"early saccade"
"3499RR02",45,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-59805,-1,"early saccade"
"3499RR02",46,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-65805,-1,"early saccade"
"3499RR02",47,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-71805,-1,"early saccade"
"3499RR02",48,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-77805,-1,"early saccade"
"3499RR02",49,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-83805,-1,"early saccade"
"3499RR02",5,332,1,"",96,351,1,""
"3499RR02",50,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-89805,-1,"early saccade"
