"vid","trial","lat.asl","Count.asl","Desc.asl","dotpos","lat.el","Count.el","Desc.el"
"220682rr01",1,NA,-1,"no saccades (getSacs)",96,-3334,-1,"early saccade"
"220682rr01",10,289,1,"",1406,294,1,""
"220682rr01",100,430,1,"",1824,285,1,""
"220682rr01",101,NA,-1,"< 30% tracking for samples of interest",514,25,-1,"early saccade"
"220682rr01",102,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-4467,-1,"early saccade"
"220682rr01",103,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-1783,-1,"early saccade"
"220682rr01",104,644,1,"",259,641,1,""
"220682rr01",105,499,1,"",259,497,1,""
"220682rr01",106,NA,-1,"moving (-Inf px/60Hz) before target onset",1824,-3,-1,"early saccade"
"220682rr01",107,303,1,"",1406,300,1,""
"220682rr01",108,NA,-1,"no saccades (getSacs)",1824,341,1,""
"220682rr01",109,183,0,"",96,185,2,""
"220682rr01",11,234,0,"",96,78,1,""
"220682rr01",110,245,0,"",1406,245,0,""
"220682rr01",111,405,1,"",1661,397,1,""
"220682rr01",112,910,0,"",96,909,0,""
"220682rr01",12,292,1,"",514,302,1,""
"220682rr01",13,NA,-1,"blink starts 0.380 before any saccade",96,246,1,""
"220682rr01",14,368,1,"",1824,22,-1,"early saccade"
"220682rr01",15,255,1,"",1824,248,1,""
"220682rr01",16,259,1,"",514,256,1,""
"220682rr01",17,303,1,"",96,296,1,""
"220682rr01",18,270,1,"",1406,264,1,""
"220682rr01",19,336,1,"",514,20,-1,"early saccade"
"220682rr01",2,267,1,"",1824,282,1,""
"220682rr01",20,266,1,"",259,264,1,""
"220682rr01",21,354,1,"",259,348,1,""
"220682rr01",22,270,1,"",1661,264,1,""
"220682rr01",23,350,0,"",1661,352,2,""
"220682rr01",24,347,1,"",96,344,1,""
"220682rr01",25,152,2,"",1406,152,2,""
"220682rr01",26,508,1,"",1824,504,1,""
"220682rr01",27,292,1,"",96,288,1,""
"220682rr01",28,464,1,"",1824,316,1,""
"220682rr01",29,266,2,"",514,262,2,""
"220682rr01",3,299,1,"",259,306,1,""
"220682rr01",30,504,1,"",1406,490,1,""
"220682rr01",31,NA,-1,"moving (-Inf px/60Hz) before target onset",96,-18,-1,"early saccade"
"220682rr01",32,310,1,"",514,310,1,""
"220682rr01",33,310,1,"",1824,306,1,""
"220682rr01",34,292,1,"",1661,290,1,""
"220682rr01",35,270,1,"",1824,266,1,""
"220682rr01",36,369,1,"",1406,366,1,""
"220682rr01",37,479,1,"",1661,474,1,""
"220682rr01",38,409,1,"",259,402,1,""
"220682rr01",39,387,1,"",96,382,1,""
"220682rr01",4,278,2,"",514,290,2,""
"220682rr01",40,354,1,"",259,346,1,""
"220682rr01",41,325,1,"",96,318,1,""
"220682rr01",42,273,1,"",1824,270,1,""
"220682rr01",43,303,1,"",96,299,1,""
"220682rr01",44,310,1,"",1406,303,1,""
"220682rr01",45,318,1,"",259,311,1,""
"220682rr01",46,727,1,"",1824,723,1,""
"220682rr01",47,512,1,"",1824,435,1,""
"220682rr01",48,184,2,"",259,183,2,""
"220682rr01",49,212,2,"",1406,207,2,""
"220682rr01",5,307,1,"",259,318,1,""
"220682rr01",50,347,1,"",96,3,-1,"early saccade"
"220682rr01",51,296,1,"",96,287,1,""
"220682rr01",52,267,2,"",1824,27,-1,"early saccade"
"220682rr01",53,325,1,"",1661,323,1,""
"220682rr01",54,NA,-1,"blink ends before any saccades",1661,79,1,""
"220682rr01",55,339,1,"",514,336,1,""
"220682rr01",56,372,1,"",514,368,1,""
"220682rr01",57,328,2,"",96,329,2,""
"220682rr01",58,504,1,"",1824,501,1,""
"220682rr01",59,358,1,"",259,345,1,""
"220682rr01",6,NA,-1,"no saccades (getSacs)",1661,402,-1,"no saccades"
"220682rr01",60,299,1,"",96,281,1,""
"220682rr01",61,273,0,"",1824,273,0,""
"220682rr01",62,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-331,-1,"early saccade"
"220682rr01",63,299,1,"",259,285,1,""
"220682rr01",64,NA,-1,"no saccades (getSacs)",1406,197,2,""
"220682rr01",65,394,1,"",514,389,1,""
"220682rr01",66,651,1,"",1661,645,1,""
"220682rr01",67,284,1,"",514,273,1,""
"220682rr01",68,292,1,"",96,269,1,""
"220682rr01",69,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-411,-1,"early saccade"
"220682rr01",7,NA,-1,"no saccades (getSacs)",1661,326,1,""
"220682rr01",70,235,0,"",1406,233,2,""
"220682rr01",71,215,2,"",259,215,2,""
"220682rr01",72,354,1,"",1406,47,-1,"early saccade"
"220682rr01",73,460,1,"",1824,295,1,""
"220682rr01",74,299,1,"",259,295,1,""
"220682rr01",75,303,1,"",1661,295,1,""
"220682rr01",76,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-873,-1,"early saccade"
"220682rr01",77,NA,-1,"< 30% tracking for samples of interest",1406,-17,-1,"early saccade"
"220682rr01",78,424,1,"",96,423,1,""
"220682rr01",79,328,1,"",96,327,1,""
"220682rr01",8,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-694,-1,"early saccade"
"220682rr01",80,273,1,"",514,275,1,""
"220682rr01",81,369,1,"",96,367,1,""
"220682rr01",82,288,2,"",1661,291,2,""
"220682rr01",83,332,1,"",1824,327,1,""
"220682rr01",84,314,1,"",1824,283,1,""
"220682rr01",85,202,2,"",1824,204,2,""
"220682rr01",86,220,2,"",259,196,2,""
"220682rr01",87,571,1,"",259,340,1,""
"220682rr01",88,NA,-1,"no saccades (getSacs)",1406,-4228,-1,"early saccade"
"220682rr01",89,321,1,"",514,304,1,""
"220682rr01",9,357,1,"",1406,374,1,""
