XDAT	pupil_diam	horz_gaze_coord	vert_gaze_coord
255	85	127.2	164.2
255	85	129.5	165.7
255	84	132.7	191
255	83	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	132.7	191
255	0	0	0
255	59	0	0
255	70	0	0
255	76	0	0
255	79	53.8	790.8
255	82	48.9	748.4
255	83	46.4	680.5
255	84	40.9	606.7
255	84	44.6	511.1
255	84	54.5	461.3
255	85	64.6	423.7
255	84	70.7	378.5
255	85	66.9	359.5
255	85	65.8	335.5
255	85	56.3	320.6
255	85	54.5	311.3
255	85	53.7	292.8
255	85	47.4	278.2
255	86	47.7	266.2
255	86	48	265
255	85	48.7	266.2
255	86	54.7	262
255	88	61.5	240.9
255	88	66.5	224
255	87	82.2	212.4
255	87	98	197.3
255	87	111.2	194.4
255	87	124.9	188.4
255	87	126.5	173
255	86	119.8	162.9
255	87	118.8	154.7
255	87	114.8	142.4
255	87	112.9	134.8
255	88	113.9	120
255	87	113.7	118.3
255	86	116.2	114.4
255	87	114.4	111.4
255	86	113.4	121.8
255	87	108.5	116.8
255	86	103.3	116.2
255	86	97.8	112.8
255	86	101	107.9
255	86	103.8	110
255	86	104.2	107.9
255	87	109.3	107.3
255	85	108	112.4
255	85	113.3	142.5
255	80	113.3	142.5
255	0	113.3	142.5
255	0	113.3	142.5
255	0	113.3	142.5
255	0	113.3	142.5
255	0	113.3	142.5
255	0	113.3	142.5
255	0	113.3	142.5
255	0	113.3	142.5
255	0	113.3	142.5
255	66	113.3	142.5
255	78	113.3	142.5
255	83	157.5	641.9
255	86	158.6	623.2
255	87	158.8	584.9
255	87	160.2	526.5
255	87	157.2	455.8
255	88	150.1	388.8
255	88	145	328.2
255	88	136	273.8
255	88	131.7	227.8
255	89	131.2	190.8
255	89	131.4	171
255	89	132.3	157.3
255	89	132.3	145.1
255	89	128.1	133.9
255	89	122.8	118.8
255	89	117.8	112.5
255	90	114.1	105.4
255	90	116.9	104.2
255	90	117.9	100.5
255	90	119.9	94.8
255	90	122.4	89.8
255	90	122.7	90
255	90	121.9	85.8
255	90	121.8	81.5
255	91	116.2	81.3
255	91	110.1	75.3
255	91	109.6	75.1
255	90	110	74.4
255	91	113.1	77.3
255	91	117.4	80.6
255	90	117.7	86.3
255	90	118.6	110.9
255	89	128.6	172.2
255	81	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	128.6	172.2
255	0	0	0
255	0	0	0
255	41	0	0
255	66	0	0
255	79	0	0
255	83	0	0
255	86	0	0
255	89	135.8	729.3
255	89	135.2	705.8
255	89	136.6	672.5
255	90	137.3	642.2
255	90	137.2	593.7
255	90	137.1	564.1
255	90	136.7	548
255	89	134.6	530.1
255	90	132.1	521.2
255	90	131.9	515.5
255	90	129.7	504.6
255	90	130.6	483.4
255	90	131.4	471.3
255	90	130.9	457.8
255	90	132.7	455.6
255	90	132.9	466.3
255	89	134.7	476.5
255	90	136.9	487.8
255	89	138.3	492.6
255	90	138.5	493.1
255	87	141.9	573.1
255	90	139.8	567
255	89	140.4	557.9
255	89	137.2	542.7
255	90	132	443.2
255	89	132	430.4
255	90	129.3	413
255	89	130.7	400.9
255	89	130.7	393.7
255	90	131.8	385.4
255	89	130.2	383.5
255	90	129.3	376.2
255	90	131.3	366.3
255	90	129.9	354.2
255	90	128	338.9
255	90	129.5	333.7
255	90	123.9	330.5
255	90	124.4	340.4
255	90	125	353
255	90	125.9	364.4
255	90	131.4	382.6
255	92	122.1	405
255	91	108.9	432
255	88	74.4	479.6
255	88	35.5	535.6
255	88	11.6	585.4
255	88	6545.8	634.6
255	89	6545.7	648.9
255	89	6547.2	653.6
255	89	6539.9	650.3
255	88	6535.6	638.5
255	89	6532.7	640.1
255	89	6535.7	633.8
255	89	6540.2	629.6
255	89	6547.1	630.4
255	89	6541.9	632.2
255	89	6534.1	637.5
255	89	6542.4	639.8
255	89	6536.8	644.4
255	92	10.4	595.6
255	92	4.6	574
255	92	16.1	497
255	92	41.3	396.1
255	92	44	334.7
255	92	79.7	245.8
255	92	84.9	204.8
255	92	86.8	183.7
255	92	91.2	177.2
255	92	92.1	164.4
255	93	93.1	164.6
255	92	90.7	158.5
255	92	86.9	159.5
255	92	85.9	155.7
255	92	85.5	179.8
255	92	89.2	174.3
255	92	91.2	164.1
255	92	92.7	159.6
255	93	90.7	131.8
255	93	88.2	135.1
255	93	88.5	139.2
255	93	83.8	142.1
255	93	86.6	149.4
255	92	85.9	151.3
255	92	82.8	158
255	92	86.2	156.9
255	93	82.9	168.1
255	92	80.8	162.4
255	93	78.8	152.5
255	92	77	149.6
255	92	79.9	131.7
255	92	83.1	133.5
255	93	87.7	132.7
255	93	87.1	137.8
255	93	85.9	140.4
255	93	85.2	141.1
255	94	83.4	136.7
255	93	85.4	136
255	93	85.2	137.2
255	94	84.9	136.5
255	94	86.4	136.6
255	94	86.5	138.3
255	93	84.3	136.6
255	93	84.5	141.6
255	94	85.1	154.8
255	93	81.2	164.4
255	94	82.1	165.6
255	94	80.2	163.5
255	94	76	175.7
255	94	77.4	170.3
255	94	80.7	185.6
255	94	78.4	185.8
255	94	79.9	163.8
255	94	84.7	160.7
255	94	85.2	137
255	94	90.8	142.1
255	94	87.3	143.3
255	94	83.2	143.7
255	94	80	144.5
255	94	79.4	140
255	94	82.2	138.3
255	94	83.3	140.4
255	94	84.2	142.8
255	94	83.4	141.6
255	94	82.9	141.9
255	94	83.7	142.1
255	94	80.8	141
255	94	79.2	139.1
255	94	80.3	140
255	94	82	138.3
255	94	86.3	141.1
255	95	87.4	143.2
255	94	83.3	140.9
255	94	74.7	131
255	94	70.1	125.4
255	94	67.3	122.9
255	94	70.4	134.6
255	94	72.4	139.1
