trial	count_a	lat_a	count_m	lat_m	scorer
11174.20130604.1.1	-1	-1	0	33	unknown
11174.20130604.1.2	0	145	0	133	unknown
11174.20130604.1.3	1	314	1	333	unknown
11174.20130604.1.4	0	375	1	333	unknown
11174.20130604.1.5	2	208	0	217	unknown
11174.20130604.1.6	1	464	1	467	unknown
11174.20130604.1.7	1	319	1	333	unknown
11174.20130604.1.8	2	378	2	367	unknown
11174.20130604.1.9	1	309	-1	-1	unknown
11174.20130604.1.10	2	130	2	117	unknown
11174.20130604.1.11	-1	-1	-1	-1	unknown
11174.20130604.1.12	-1	-1	-1	-1	unknown
11174.20130604.1.13	1	309	1	300	unknown
11174.20130604.1.14	2	179	2	150	unknown
11174.20130604.1.15	1	540	1	567	unknown
11174.20130604.1.16	0	192	0	183	unknown
11174.20130604.1.17	-1	-1	0	600	unknown
11174.20130604.1.18	1	274	1	283	unknown
11174.20130604.1.19	0	249	1	217	unknown
11174.20130604.1.20	1	260	1	267	unknown
11174.20130604.1.21	1	324	1	333	unknown
11174.20130604.1.22	2	248	0	267	unknown
11174.20130604.1.23	1	631	1	600	unknown
11174.20130604.1.24	1	186	1	200	unknown
11174.20130604.1.25	0	155	0	150	unknown
11174.20130604.1.26	1	238	1	250	unknown
11174.20130604.1.27	0	164	0	183	unknown
11174.20130604.1.28	2	266	0	117	unknown
11174.20130604.1.29	-1	-1	-1	-1	unknown
11174.20130604.1.30	2	380	2	400	unknown
11174.20130604.1.31	1	403	1	417	unknown
11174.20130604.1.32	2	246	2	217	unknown
11174.20130604.1.33	2	169	2	133	unknown
11174.20130604.1.34	2	231	2	217	unknown
11174.20130604.1.35	-1	-1	1	917	unknown
11174.20130604.1.36	-1	-1	-1	-1	unknown
11174.20130604.1.37	2	173	0	167	unknown
11174.20130604.1.38	-1	-1	0	333	unknown
11174.20130604.1.39	-1	-1	0	300	unknown
11174.20130604.1.40	-1	-1	-1	-1	unknown
11174.20130604.1.41	2	268	0	217	unknown
11174.20130604.1.42	-1	-1	1	283	unknown
11174.20130604.1.43	-1	-1	0	300	unknown
11174.20130604.1.44	2	205	1	283	unknown
11174.20130604.1.45	-1	-1	-1	-1	unknown
11174.20130604.1.46	-1	-1	-1	-1	unknown
11174.20130604.1.47	2	309	1	433	unknown
11174.20130604.1.48	2	228	2	217	unknown
11167.20130517.1.1	1	409	1	333	RC
11167.20130517.1.2	1	629	1	633	RC
11167.20130517.1.3	1	489	1	467	RC
11167.20130517.1.4	1	295	1	300	RC
11167.20130517.1.5	1	317	1	317	RC
11167.20130517.1.6	1	390	1	383	RC
11167.20130517.1.7	1	572	1	567	RC
11167.20130517.1.8	1	454	1	450	RC
11167.20130517.1.9	1	417	1	400	RC
11167.20130517.1.10	1	439	1	433	RC
11167.20130517.1.11	1	479	1	400	RC
11167.20130517.1.12	1	196	1	200	RC
11167.20130517.1.13	2	199	2	217	RC
11167.20130517.1.14	1	238	-1	-1	RC
11167.20130517.1.15	1	378	1	383	RC
11167.20130517.1.16	1	208	1	233	RC
11167.20130517.1.17	1	270	1	267	RC
11167.20130517.1.18	2	196	1	67	RC
11167.20130517.1.19	1	252	1	250	RC
11167.20130517.1.20	2	194	-1	-1	RC
11167.20130517.1.21	1	184	1	183	RC
11167.20130517.1.22	1	179	1	183	RC
11167.20130517.1.23	1	390	-1	-1	RC
11167.20130517.1.24	2	137	2	117	RC
11167.20130517.1.25	1	198	1	183	RC
11167.20130517.1.26	2	272	1	233	RC
11167.20130517.1.27	1	172	1	167	RC
11167.20130517.1.28	1	317	1	317	RC
11167.20130517.1.29	2	176	2	183	RC
11167.20130517.1.30	2	179	2	167	RC
11167.20130517.1.31	1	260	1	267	RC
11167.20130517.1.32	1	290	1	317	RC
11167.20130517.1.33	1	246	1	250	RC
11167.20130517.1.34	1	231	1	233	RC
11167.20130517.1.35	1	130	1	317	RC
11167.20130517.1.36	1	302	1	300	RC
11167.20130517.1.37	2	164	2	150	RC
11167.20130517.1.38	1	255	1	267	RC
11167.20130517.1.39	1	297	1	283	RC
11167.20130517.1.40	1	189	1	183	RC
11167.20130517.1.41	1	270	-1	-1	RC
11167.20130517.1.42	2	137	2	133	RC
11167.20130517.1.43	1	186	1	200	RC
11167.20130517.1.44	1	275	1	283	RC
11167.20130517.1.45	1	250	1	267	RC
11167.20130517.1.46	2	221	1	317	RC
11167.20130517.1.47	2	130	0	133	RC
11167.20130517.1.48	1	221	1	217	RC
11162.20130501.1.1	1	243	1	100	RI
11162.20130501.1.2	2	245	2	250	RI
11162.20130501.1.3	1	157	1	167	RI
11162.20130501.1.4	1	189	1	200	RI
11162.20130501.1.5	1	213	-1	-1	RI
11162.20130501.1.6	2	167	0	150	RI
11162.20130501.1.7	1	269	1	250	RI
11162.20130501.1.8	2	157	2	150	RI
11162.20130501.1.9	1	213	1	233	RI
11162.20130501.1.10	1	238	1	233	RI
11162.20130501.1.11	1	255	1	267	RI
11162.20130501.1.12	1	196	1	200	RI
11162.20130501.1.13	1	201	1	183	RI
11162.20130501.1.14	1	186	1	200	RI
11162.20130501.1.15	1	211	1	217	RI
