subj	PSCor	PSCorErr	PSErr	ASCor	ASErrCor	ASErr	Dropped	total
10565	0	0	0	29	17	0	0	46
10567	0	0	0	103	23	0	0	126
10568	0	0	0	121	7	0	1	129
10572	0	0	0	78	4	0	2	84
10585	0	0	0	39	16	12	1	68
10589	0	0	0	83	40	1	0	124
10590	0	0	0	65	20	1	0	86
10599	0	0	0	73	19	1	1	94
10604	0	0	0	91	25	1	1	118
10607	0	0	0	21	24	0	0	45
10608	0	0	0	96	37	0	0	133
10616	0	0	0	49	69	0	0	118
10623	0	0	0	62	15	0	0	77
10625	0	0	0	45	3	0	0	48
10626	0	0	0	87	50	0	0	137
10627	0	0	0	84	9	0	0	93
10628	0	0	0	22	20	1	0	43
10629	0	0	0	68	27	0	0	95
10632	0	0	0	10	19	2	1	32
10633	0	0	0	47	23	1	0	71
10635	0	0	0	42	4	0	0	46
10636	0	0	0	60	18	2	0	80
10637	0	0	0	43	85	1	1	130
10638	0	0	0	25	27	4	1	57
10644	0	0	0	63	14	4	1	82
10645	0	0	0	13	32	0	0	45
10646	0	0	0	41	29	2	1	73
10647	0	0	0	19	24	0	0	43
10648	0	0	0	5	56	3	0	64
10652	0	0	0	63	23	0	0	86
10653	0	0	0	111	25	0	1	137
10654	0	0	0	72	9	0	0	81
10655	0	0	0	14	31	0	0	45
10656	0	0	0	11	30	0	0	41
10660	0	0	0	5	35	0	0	40
10661	0	0	0	92	46	1	0	139
10662	0	0	0	57	24	1	1	83
10664	0	0	0	38	7	0	0	45
10665	0	0	0	59	35	1	0	95
10666	0	0	0	111	21	0	0	132
10667	0	0	0	119	10	0	0	129
10668	0	0	0	26	14	0	0	40
10669	0	0	0	29	19	0	0	48
10671	0	0	0	79	14	0	0	93
10672	0	0	0	22	13	0	1	36
10673	0	0	0	112	7	0	0	119
10674	0	0	0	64	26	1	0	91
10675	0	0	0	19	10	1	0	30
10676	0	0	0	27	13	3	1	44
10677	0	0	0	126	14	0	0	140
10678	0	0	0	65	19	1	2	87
10680	0	0	0	120	12	0	0	132
10681	0	0	0	22	6	0	1	29
10682	0	0	0	25	5	1	0	31
10683	0	0	0	1	6	1	1	9
10684	0	0	0	19	10	2	0	31
10686	0	0	0	27	21	0	0	48
10689	0	0	0	74	18	0	0	92
10696	0	0	0	21	26	0	0	47
10697	0	0	0	65	8	0	0	73
10699	0	0	0	162	27	0	0	189
10700	0	0	0	99	41	0	0	140
10701	0	0	0	84	54	2	0	140
10702	0	0	0	21	20	1	0	42
10703	0	0	0	146	17	0	0	163
10707	0	0	0	42	3	0	0	45
10708	0	0	0	40	1	0	0	41
10709	0	0	0	51	37	0	0	88
10710	0	0	0	23	20	0	0	43
10711	0	0	0	89	43	0	0	132
10712	0	0	0	52	32	2	1	87
10713	0	0	0	67	14	0	0	81
10716	0	0	0	22	16	0	1	39
10717	0	0	0	74	52	1	0	127
10745	0	0	0	38	2	0	0	40
10747	0	0	0	62	25	1	1	89
10749	0	0	0	116	41	3	1	161
10750	0	0	0	3	10	4	0	17
10753	0	0	0	12	28	2	1	43
10754	0	0	0	13	24	0	0	37
10757	0	0	0	100	35	0	0	135
10758	0	0	0	121	8	0	0	129
10760	0	0	0	98	60	1	0	159
10761	0	0	0	99	37	0	1	137
10762	0	0	0	124	9	0	0	133
10765	0	0	0	103	30	2	0	135
10766	0	0	0	124	16	0	0	140
10767	0	0	0	74	65	2	0	141
10768	0	0	0	92	1	0	0	93
10770	0	0	0	23	24	0	0	47
10771	0	0	0	32	28	1	1	62
10772	0	0	0	77	42	3	2	124
10773	0	0	0	80	33	1	1	115
10774	0	0	0	83	33	2	0	118
10776	0	0	0	33	11	0	0	44
10777	0	0	0	18	13	3	1	35
10778	0	0	0	49	40	0	0	89
10779	0	0	0	24	23	0	0	47
10780	0	0	0	57	82	0	0	139
10781	0	0	0	8	23	3	1	35
10782	0	0	0	74	14	0	0	88
10783	0	0	0	24	19	2	0	45
10784	0	0	0	23	10	2	0	35
10786	0	0	0	61	21	0	0	82
10787	0	0	0	25	16	2	1	44
10788	0	0	0	59	20	2	0	81
10790	0	0	0	33	44	1	1	79
10791	0	0	0	41	5	1	0	47
10792	0	0	0	24	18	1	0	43
10794	0	0	0	28	15	0	0	43
10795	0	0	0	32	15	0	0	47
10796	0	0	0	90	15	10	2	117
10797	0	0	0	100	10	2	0	112
10798	0	0	0	52	30	1	0	83
10800	0	0	0	60	31	1	0	92
10801	0	0	0	40	5	0	0	45
10802	0	0	0	75	16	0	0	91
10803	0	0	0	31	12	1	1	45
10804	0	0	0	58	30	0	0	88
10805	0	0	0	31	2	0	0	33
10806	0	0	0	31	9	0	0	40
10808	0	0	0	46	1	0	0	47
10809	0	0	0	37	19	1	1	58
10810	0	0	0	27	16	1	0	44
10811	0	0	0	20	16	1	0	37
10812	0	0	0	33	14	0	0	47
10813	0	0	0	79	52	1	0	132
10814	0	0	0	55	35	1	0	91
10816	0	0	0	91	2	1	1	95
10817	0	0	0	50	22	3	0	75
10818	0	0	0	26	11	1	1	39
10820	0	0	0	13	55	1	1	70
10821	0	0	0	45	43	1	0	89
10822	0	0	0	33	51	3	0	87
10823	0	0	0	7	32	5	0	44
10824	0	0	0	71	81	6	0	158
10826	0	0	0	43	15	9	2	69
10827	0	0	0	53	26	1	1	81
10831	0	0	0	12	35	0	0	47
10833	0	0	0	21	17	0	1	39
10836	0	0	0	37	10	0	1	48
10838	0	0	0	5	19	12	0	36
10839	0	0	0	69	17	3	0	89
10840	0	0	0	69	7	1	0	77
10841	0	0	0	86	4	0	0	90
10843	0	0	0	83	8	1	1	93
10844	0	0	0	6	41	0	0	47
10845	0	0	0	19	55	2	0	76
10847	0	0	0	40	34	6	1	81
10849	0	0	0	26	46	2	1	75
10850	0	0	0	51	37	0	0	88
10851	0	0	0	31	40	1	0	72
