trial	count_a	lat_a	count_m	lat_m	scorer	xdat	reason
99999.20070829.4.1	2	332	2	333	KS	171	
99999.20070829.4.2	1	643	1	650	KS	174	
99999.20070829.4.3	2	375	2	367	KS	175	
99999.20070829.4.4	2	390	2	383	KS	171	
99999.20070829.4.5	2	315	2	300	KS	173	
99999.20070829.4.6	2	308	2	300	KS	175	
99999.20070829.4.7	2	322	2	333	KS	176	
99999.20070829.4.8	2	322	2	317	KS	172	
99999.20070829.4.9	1	279	2	183	KS	173	
99999.20070829.4.10	2	315	0	317	KS	172	
99999.20070829.4.11	2	322	2	317	KS	174	
99999.20070829.4.12	1	509	1	517	KS	176	
99999.20070829.3.1	1	390	1	400	KS	161	
99999.20070829.3.2	1	360	1	350	KS	163	
99999.20070829.3.3	1	324	1	317	KS	162	
99999.20070829.3.4	1	322	1	317	KS	162	
99999.20070829.3.5	1	347	1	350	KS	165	
99999.20070829.3.6	1	337	1	333	KS	166	
99999.20070829.3.7	1	315	1	317	KS	161	
99999.20070829.3.8	1	382	1	383	KS	165	
99999.20070829.3.9	1	315	1	300	KS	164	
99999.20070829.3.10	1	322	1	333	KS	166	
99999.20070829.3.11	1	315	1	300	KS	164	
99999.20070829.3.12	1	322	1	317	KS	163	
99999.20070829.2.1	1	404	1	383	KS	163	
99999.20070829.2.2	1	315	1	300	KS	161	
99999.20070829.2.3	1	248	0	133	KS	164	
99999.20070829.2.4	1	352	1	333	KS	163	
99999.20070829.2.5	1	322	1	333	KS	161	
99999.20070829.2.6	1	345	1	350	KS	165	
99999.20070829.2.7	1	390	1	383	KS	162	
99999.20070829.2.8	1	322	1	333	KS	162	
99999.20070829.2.9	1	352	1	350	KS	166	
99999.20070829.2.10	1	352	1	350	KS	166	
99999.20070829.2.11	1	322	1	317	KS	165	
99999.20070829.2.12	1	337	1	333	KS	164	
99999.20070829.1.1	2	322	2	283	KS	174	
99999.20070829.1.2	1	509	1	517	KS	171	
99999.20070829.1.3	2	324	2	333	KS	176	
99999.20070829.1.4	2	427	2	433	KS	171	
99999.20070829.1.5	2	352	2	333	KS	173	
99999.20070829.1.6	2	330	2	317	KS	172	
99999.20070829.1.7	2	330	2	333	KS	175	
99999.20070829.1.8	1	531	1	533	KS	176	
99999.20070829.1.9	2	322	2	333	KS	175	
99999.20070829.1.10	2	315	2	300	KS	174	
99999.20070829.1.11	2	324	2	317	KS	173	
99999.20070829.1.12	1	554	1	550	KS	172	
99999.20060803.4.1	1	330	1	300	EMI	163	
99999.20060803.4.2	1	352	1	367	EMI	166	
99999.20060803.4.3	1	375	1	367	EMI	161	
99999.20060803.4.4	1	382	1	383	EMI	166	
99999.20060803.4.5	1	293	1	300	EMI	162	
99999.20060803.4.6	1	367	1	367	EMI	161	
99999.20060803.4.7	1	343	1	317	EMI	164	
99999.20060803.4.8	1	352	1	350	EMI	165	
99999.20060803.4.9	1	330	1	333	EMI	165	
99999.20060803.4.10	1	308	1	300	EMI	162	
99999.20060803.4.11	1	337	1	317	EMI	164	
99999.20060803.4.12	-1	NA	1	67	EMI	163	no saccades within sac.time(1.450)
99999.20060803.3.1	2	412	2	400	EMI	174	
99999.20060803.3.2	2	322	2	317	EMI	171	
99999.20060803.3.3	2	293	2	283	EMI	175	
99999.20060803.3.4	2	270	1	683	EMI	176	
99999.20060803.3.5	1	774	1	650	EMI	171	
99999.20060803.3.6	2	404	2	400	EMI	172	
99999.20060803.3.7	2	464	-1	-1	EMI	174	
99999.20060803.3.8	0	472	2	433	EMI	173	
99999.20060803.3.9	1	223	1	233	EMI	173	
99999.20060803.3.10	2	331	2	317	EMI	172	
99999.20060803.3.11	2	360	2	367	EMI	175	
99999.20060803.3.12	-1	NA	2	150	EMI	176	blink starts 0.974 before any saccade
99999.20060803.2.1	2	390	2	383	EMI	172	
99999.20060803.2.2	2	330	2	300	EMI	173	
99999.20060803.2.3	1	546	1	550	EMI	173	
99999.20060803.2.4	2	317	2	317	EMI	174	
99999.20060803.2.5	1	591	1	583	EMI	175	
99999.20060803.2.6	1	710	1	700	EMI	174	
99999.20060803.2.7	2	382	2	383	EMI	176	
99999.20060803.2.8	2	315	2	300	EMI	175	
99999.20060803.2.9	2	397	2	400	EMI	171	
99999.20060803.2.10	2	390	2	400	EMI	176	
99999.20060803.2.11	2	384	2	350	EMI	172	
99999.20060803.2.12	-1	NA	2	433	EMI	171	moving (21.675 px/60Hz) before target onset
99999.20060803.1.1	1	352	1	350	EMI	161	
99999.20060803.1.2	1	324	1	317	EMI	163	
99999.20060803.1.3	1	308	1	300	EMI	162	
99999.20060803.1.4	1	330	1	333	EMI	162	
99999.20060803.1.5	1	330	1	333	EMI	165	
99999.20060803.1.6	1	352	1	350	EMI	166	
99999.20060803.1.7	1	293	1	300	EMI	161	
99999.20060803.1.8	1	337	1	350	EMI	165	
99999.20060803.1.9	1	315	1	300	EMI	164	
99999.20060803.1.10	1	332	1	333	EMI	166	
99999.20060803.1.11	1	345	1	333	EMI	164	
99999.20060803.1.12	1	322	1	317	EMI	163	
11151.20130422.4.1	2	240	2	167	LR	164	
11151.20130422.4.2	1	322	1	317	LR	165	
11151.20130422.4.3	1	293	1	300	LR	163	
11151.20130422.4.4	1	255	1	400	LR	161	
11151.20130422.4.5	-1	NA	-1	-1	LR	161	poor tracking: sd of xpos Δ=43.808395
11151.20130422.4.6	1	293	1	300	LR	162	
11151.20130422.4.7	1	308	1	300	LR	163	
11151.20130422.4.8	1	352	1	367	LR	166	
11151.20130422.4.9	1	285	1	300	LR	162	
11151.20130422.4.10	1	293	1	300	LR	166	
11151.20130422.4.11	1	382	1	367	LR	164	
11151.20130422.4.12	1	390	1	383	LR	165	
11151.20130422.3.1	1	561	0	333	LR	174	
11151.20130422.3.2	1	424	1	417	LR	171	
11151.20130422.3.3	-1	NA	-1	-1	LR	175	no saccades within sac.time(1.450)
11151.20130422.3.4	2	407	-1	-1	LR	176	
11151.20130422.3.5	1	226	1	550	LR	171	
11151.20130422.3.6	1	404	1	417	LR	172	
11151.20130422.3.7	1	419	1	417	LR	174	
11151.20130422.3.8	1	390	1	400	LR	173	
11151.20130422.3.9	1	419	1	417	LR	173	
11151.20130422.3.10	2	352	1	350	LR	172	
11151.20130422.3.11	2	375	0	367	LR	175	
11151.20130422.3.12	1	539	1	550	LR	176	
11151.20130422.2.1	-1	NA	1	500	LR	173	average fixpos(72.800000) is off from baseline(130.500000)!
11151.20130422.2.2	-1	NA	-1	-1	LR	174	blink before target onset
11151.20130422.2.3	1	658	1	667	LR	176	
11151.20130422.2.4	2	345	-1	-1	LR	171	
11151.20130422.2.5	2	377	2	383	LR	175	
11151.20130422.2.6	1	533	1	533	LR	172	
11151.20130422.2.7	1	447	1	450	LR	176	
