trial	count_a	lat_a	count_m	lat_m	scorer
11162.20130501.2.1	1	325	1	67	RC
11162.20130501.2.2	1	294	1	283	RC
11162.20130501.2.3	1	303	1	317	RC
11162.20130501.2.4	1	353	1	350	RC
11162.20130501.2.5	1	338	1	333	RC
11162.20130501.2.6	1	314	1	317	RC
11162.20130501.2.7	1	314	1	300	RC
11162.20130501.2.8	1	300	1	300	RC
11162.20130501.2.9	1	294	1	283	RC
11162.20130501.2.10	1	306	1	283	RC
11162.20130501.2.11	1	385	1	383	RC
11162.20130501.2.12	1	401	1	400	RC
11162.20130501.2.13	1	337	1	333	RC
11162.20130501.2.14	1	333	1	333	RC
11162.20130501.2.15	0	453	-1	-1	RC
11162.20130501.2.16	1	309	1	383	RC
11162.20130501.2.17	1	310	1	317	RC
11162.20130501.2.18	1	293	1	300	RC
11162.20130501.2.19	1	322	1	317	RC
11162.20130501.2.20	1	321	1	283	RC
11162.20130501.2.21	1	302	2	233	RC
11162.20130501.2.22	1	366	1	383	RC
11162.20130501.2.23	-1	-1	1	433	RC
11162.20130501.2.24	-1	-1	1	533	RC
11162.20130501.2.25	1	294	1	317	RC
11162.20130501.2.26	1	416	1	417	RC
11162.20130501.2.27	1	306	1	333	RC
11162.20130501.2.28	1	306	1	317	RC
11162.20130501.2.29	1	281	1	283	RC
11162.20130501.2.30	1	318	1	333	RC
11162.20130501.2.31	1	294	1	317	RC
11162.20130501.2.32	1	310	1	333	RC
11162.20130501.2.33	1	303	1	317	RC
11162.20130501.2.34	1	302	1	317	RC
11162.20130501.2.35	1	305	1	333	RC
11162.20130501.2.36	1	310	1	317	RC
11162.20130501.2.37	-1	-1	1	317	RC
11162.20130501.2.38	1	298	1	317	RC
11162.20130501.2.39	1	323	1	333	RC
11162.20130501.2.40	1	306	1	333	RC
11162.20130501.2.41	1	314	1	300	RC
11162.20130501.2.42	-1	-1	1	333	RC
11162.20130501.2.43	1	322	1	350	RC
11162.20130501.2.44	1	323	1	333	RC
11162.20130501.2.45	-1	-1	1	283	RC
11162.20130501.2.46	1	297	-1	-1	RC
11162.20130501.2.47	1	309	1	300	RC
11162.20130501.2.48	1	313	1	317	RC
11162.20130501.2.49	1	289	1	283	RC
11162.20130501.2.50	1	305	1	300	RC
11162.20130501.2.51	1	325	1	317	RC
11162.20130501.2.52	1	324	1	317	RC
11162.20130501.2.53	1	273	1	283	RC
11162.20130501.2.54	1	329	-1	-1	RC
11162.20130501.2.55	1	323	1	317	RC
11162.20130501.2.56	1	288	1	283	RC
11162.20130501.2.57	1	293	1	300	RC
11162.20130501.2.58	1	302	1	283	RC
11162.20130501.2.59	1	375	-1	-1	RC
11162.20130501.2.60	1	318	1	333	RC
11162.20130501.1.1	1	357	1	83	RC
11162.20130501.1.2	1	358	1	367	RC
11162.20130501.1.3	1	318	1	333	RC
11162.20130501.1.4	-1	-1	0	517	RC
11162.20130501.1.5	1	329	1	333	RC
11162.20130501.1.6	1	325	1	317	RC
11162.20130501.1.7	1	492	1	500	RC
11162.20130501.1.8	1	274	1	417	RC
11162.20130501.1.9	1	365	-1	-1	RC
11162.20130501.1.10	1	321	1	317	RC
11162.20130501.1.11	1	310	1	450	RC
11162.20130501.1.12	1	345	1	300	RC
11162.20130501.1.13	1	319	-1	-1	RC
11162.20130501.1.14	1	325	1	317	RC
11162.20130501.1.15	1	341	-1	-1	RC
11162.20130501.1.16	1	473	1	483	RC
11162.20130501.1.17	-1	-1	1	233	RC
11162.20130501.1.18	1	337	-1	-1	RC
11162.20130501.1.19	1	274	1	367	RC
11162.20130501.1.20	1	289	-1	-1	RC
11162.20130501.1.21	1	327	1	483	RC
11162.20130501.1.22	1	294	-1	-1	RC
11162.20130501.1.23	1	319	1	333	RC
11162.20130501.1.24	1	321	1	317	RC
11162.20130501.1.25	1	307	1	317	RC
11162.20130501.1.26	1	338	-1	-1	RC
11162.20130501.1.27	1	282	1	300	RC
11162.20130501.1.28	1	318	1	333	RC
11162.20130501.1.29	1	361	1	367	RC
11162.20130501.1.30	1	488	1	333	RC
11162.20130501.1.31	1	314	1	300	RC
11162.20130501.1.32	1	333	1	350	RC
11162.20130501.1.33	1	396	1	400	RC
11162.20130501.1.34	1	355	1	367	RC
11162.20130501.1.35	1	337	1	350	RC
11162.20130501.1.36	1	289	1	300	RC
11162.20130501.1.37	1	293	-1	-1	RC
11162.20130501.1.38	1	314	-1	-1	RC
11162.20130501.1.39	1	325	1	350	RC
11162.20130501.1.40	1	310	1	317	RC
11162.20130501.1.41	1	396	-1	-1	RC
11162.20130501.1.42	1	302	1	300	RC
11162.20130501.1.43	1	298	1	317	RC
11162.20130501.1.44	1	341	1	333	RC
11162.20130501.1.45	1	321	1	333	RC
11162.20130501.1.46	1	321	1	300	RC
11162.20130501.1.47	1	329	1	267	RC
11162.20130501.1.48	-1	-1	1	300	RC
11162.20130501.1.49	1	342	1	333	RC
11162.20130501.1.50	1	365	1	500	RC
11162.20130501.1.51	1	357	1	350	RC
11162.20130501.1.52	1	325	1	333	RC
11162.20130501.1.53	1	329	1	300	RC
11162.20130501.1.54	1	317	1	317	RC
11162.20130501.1.55	1	325	1	317	RC
11162.20130501.1.56	1	327	1	317	RC
11162.20130501.1.57	1	309	1	300	RC
11162.20130501.1.58	1	367	1	367	RC
11162.20130501.1.59	1	289	1	367	RC
11162.20130501.1.60	1	405	1	400	RC
11160.20130429.2.1	1	333	1	83	RC
11160.20130429.2.2	1	317	1	317	RC
11160.20130429.2.3	1	297	1	300	RC
11160.20130429.2.4	1	337	1	350	RC
11160.20130429.2.5	1	329	1	317	RC
11160.20130429.2.6	1	321	1	317	RC
11160.20130429.2.7	1	321	1	333	RC
11160.20130429.2.8	1	337	1	333	RC
11160.20130429.2.9	1	294	-1	-1	RC
11160.20130429.2.10	1	349	1	350	RC
11160.20130429.2.11	1	321	1	333	RC
11160.20130429.2.12	1	357	1	350	RC
11160.20130429.2.13	1	294	1	317	RC
11160.20130429.2.14	1	318	1	333	RC
11160.20130429.2.15	1	321	1	333	RC
11160.20130429.2.16	1	314	1	317	RC
11160.20130429.2.17	1	298	1	317	RC
11160.20130429.2.18	1	412	1	433	RC
11160.20130429.2.19	1	318	1	333	RC
11160.20130429.2.20	1	314	1	317	RC
11160.20130429.2.21	1	337	1	333	RC
11160.20130429.2.22	1	329	1	333	RC
11160.20130429.2.23	1	336	1	333	RC
11160.20130429.2.24	1	309	1	300	RC
11160.20130429.2.25	1	349	1	350	RC
11160.20130429.2.26	1	333	1	333	RC
11160.20130429.2.27	1	325	1	317	RC
11160.20130429.2.28	1	341	1	333	RC
11160.20130429.2.29	1	309	1	317	RC
11160.20130429.2.30	1	357	1	350	RC
11160.20130429.2.31	1	341	1	333	RC
11160.20130429.2.32	1	325	1	317	RC
11160.20130429.2.33	1	361	1	350	RC
11160.20130429.2.34	1	341	1	333	RC
11160.20130429.2.35	1	329	1	317	RC
11160.20130429.2.36	1	315	1	300	RC
11160.20130429.2.37	1	341	1	333	RC
11160.20130429.2.38	1	313	1	300	RC
11160.20130429.2.39	1	338	1	333	RC
11160.20130429.2.40	1	397	1	383	RC
11160.20130429.2.41	1	317	1	317	RC
11160.20130429.2.42	1	323	1	300	RC
11160.20130429.2.43	1	329	1	333	RC
11160.20130429.2.44	1	321	1	317	RC
11160.20130429.2.45	1	318	1	333	RC
11160.20130429.2.46	1	318	1	333	RC
11160.20130429.2.47	1	333	1	350	RC
11160.20130429.2.48	1	318	1	333	RC
11160.20130429.2.49	1	306	1	317	RC
11160.20130429.2.50	1	302	1	317	RC
11160.20130429.2.51	1	298	1	317	RC
11160.20130429.2.52	1	282	1	300	RC
11160.20130429.2.53	1	349	1	350	RC
11160.20130429.2.54	1	306	1	317	RC
11160.20130429.2.55	1	337	1	350	RC
11160.20130429.2.56	1	321	1	333	RC
11160.20130429.2.57	1	389	1	383	RC
11160.20130429.2.58	1	310	1	300	RC
11160.20130429.2.59	1	329	1	333	RC
11160.20130429.2.60	1	349	1	333	RC
11160.20130429.1.1	1	353	0	133	RC
11160.20130429.1.2	1	1041	1	417	RC
11160.20130429.1.3	1	353	1	333	RC
11160.20130429.1.4	1	365	-1	-1	RC
11160.20130429.1.5	1	314	1	333	RC
11160.20130429.1.6	1	298	0	317	RC
11160.20130429.1.7	1	318	-1	-1	RC
11160.20130429.1.8	1	345	1	367	RC
11160.20130429.1.9	1	306	1	317	RC
11160.20130429.1.10	1	318	1	333	RC
11160.20130429.1.11	1	318	1	333	RC
11160.20130429.1.12	1	329	1	350	RC
11160.20130429.1.13	1	302	1	317	RC
11160.20130429.1.14	1	318	1	350	RC
11160.20130429.1.15	1	314	1	333	RC
11160.20130429.1.16	1	345	1	350	RC
11160.20130429.1.17	1	383	1	383	RC
11160.20130429.1.18	1	302	1	317	RC
11160.20130429.1.19	1	318	1	317	RC
11160.20130429.1.20	1	373	1	367	RC
11160.20130429.1.21	1	310	1	317	RC
11160.20130429.1.22	1	361	1	350	RC
11160.20130429.1.23	1	333	1	333	RC
11160.20130429.1.24	1	337	1	333	RC
11160.20130429.1.25	1	333	1	333	RC
11160.20130429.1.26	1	389	1	383	RC
11160.20130429.1.27	1	325	1	317	RC
11160.20130429.1.28	1	373	1	367	RC
11160.20130429.1.29	1	341	1	333	RC
11160.20130429.1.30	1	349	1	350	RC
11160.20130429.1.31	1	353	1	350	RC
11160.20130429.1.32	1	341	1	333	RC
11160.20130429.1.33	1	313	1	300	RC
11160.20130429.1.34	1	349	1	350	RC
11160.20130429.1.35	1	329	1	333	RC
11160.20130429.1.36	1	337	1	333	RC
11160.20130429.1.37	1	373	1	350	RC
11160.20130429.1.38	1	345	1	350	RC
11160.20130429.1.39	1	341	1	350	RC
11160.20130429.1.40	1	365	1	367	RC
11160.20130429.1.41	1	369	1	383	RC
11160.20130429.1.42	1	349	1	350	RC
11160.20130429.1.43	1	385	1	400	RC
11160.20130429.1.44	1	318	1	333	RC
11160.20130429.1.45	1	333	1	350	RC
11160.20130429.1.46	1	377	1	383	RC
11160.20130429.1.47	1	329	1	333	RC
11160.20130429.1.48	1	337	1	350	RC
11160.20130429.1.49	1	440	1	450	RC
11160.20130429.1.50	1	321	1	333	RC
11160.20130429.1.51	1	294	1	333	RC
11160.20130429.1.52	1	274	1	300	RC
11160.20130429.1.53	1	318	1	317	RC
