trial	count_a	lat_a	count_m	lat_m	scorer	xdat
11167.20130517.2.1	1	353	1	200	RC	201
11167.20130517.2.2	1	489	-1	-1	RC	201
11167.20130517.2.3	1	345	1	350	RC	143
11167.20130517.2.4	1	345	1	350	RC	201
11167.20130517.2.5	1	377	1	383	RC	118
11167.20130517.2.6	1	361	1	367	RC	201
11167.20130517.2.7	1	337	1	333	RC	202
11167.20130517.2.8	1	353	1	350	RC	120
11167.20130517.2.9	1	345	1	350	RC	140
11167.20130517.2.10	1	385	1	383	RC	148
11167.20130517.2.11	1	397	1	383	RC	123
11167.20130517.2.12	1	373	1	367	RC	125
11167.20130517.2.13	1	373	1	367	RC	202
11167.20130517.2.14	1	421	1	867	RC	147
11167.20130517.2.15	1	385	1	383	RC	145
11167.20130517.2.16	1	397	1	400	RC	204
11167.20130517.2.17	1	381	1	383	RC	131
11167.20130517.2.18	1	389	1	383	RC	127
11167.20130517.2.19	1	349	1	350	RC	138
11167.20130517.2.20	1	365	1	367	RC	111
11167.20130517.2.21	1	361	1	350	RC	113
11167.20130517.2.22	1	365	1	367	RC	116
11167.20130517.2.23	1	345	1	350	RC	133
11167.20130517.2.24	1	511	1	517	RC	202
11167.20130517.2.25	1	361	1	450	RC	202
11167.20130517.2.26	1	393	1	383	RC	117
11167.20130517.2.27	1	365	1	367	RC	202
11167.20130517.2.28	1	405	1	400	RC	115
11167.20130517.2.29	1	373	1	367	RC	124
11167.20130517.2.30	1	389	1	383	RC	142
11167.20130517.2.31	1	357	1	350	RC	139
11167.20130517.2.32	1	321	1	317	RC	144
11167.20130517.2.33	1	345	1	350	RC	204
11167.20130517.2.34	1	349	1	350	RC	149
11167.20130517.2.35	1	361	1	367	RC	130
11167.20130517.2.36	1	337	1	333	RC	203
11167.20130517.2.37	1	361	1	367	RC	204
11167.20130517.2.38	1	349	1	350	RC	204
11167.20130517.2.39	1	337	1	333	RC	150
11167.20130517.2.40	1	389	1	483	RC	135
11167.20130517.2.41	1	361	1	367	RC	119
11167.20130517.2.42	1	365	1	367	RC	134
11167.20130517.2.43	1	353	1	350	RC	204
11167.20130517.2.44	1	302	1	300	RC	114
11167.20130517.2.45	1	321	1	333	RC	126
11167.20130517.2.46	1	333	1	333	RC	203
11167.20130517.2.47	1	341	1	350	RC	128
11167.20130517.2.48	1	321	1	333	RC	146
