subject.date.trial,PCdif,autoPC,manPC,a_drop,m_drop,scorer,conf
*2.trial.txt.2,-94.83,0,94.83,60,2,JP,4
*1.trial.txt.1,-92.86,0,92.86,60,4,JP,4
*2.trial.txt.2,-96.67,0,96.67,60,0,JP,5
*1.trial.txt.1,-98.33,0,98.33,60,0,JP,5
11147.20130312.2,0.00,100.00,100.00,0,0,SC,5
11147.20130312.1,0.08,95.00,94.92,0,1,SC,5
11146.20130313.2,-0.36,80.00,80.36,0,4,LR,4
11146.20130313.1,-1.16,83.05,84.21,1,3,LR,4
11145.20130311.2,3.20,91.53,88.33,1,0,rc,5
11145.20130311.1,0.00,91.07,91.07,4,4,rc,3
11141.20130301.2,0.00,98.31,98.31,1,1,LR,5
11141.20130301.1,-0.03,98.28,98.31,2,1,LR,5
11140.20130228.2,0.00,100.00,100.00,0,0,LR,5
11140.20130228.1,1.72,98.33,96.61,0,1,LR,5
11139.20130225.2,0.00,96.67,96.67,0,0,JP,54
11139.20130225.1,-1.67,98.33,100.00,0,0,JP,5
11137.20130218.2,0.00,98.33,98.33,0,0,JP,5
11137.20130218.1,0.00,100.00,100.00,0,0,JP,5
*2.trial.txt.2,-96.55,0,96.55,60,2,JP,4.5
11133.20130215.1,-3.33,95.00,98.33,0,0,JP,5
11130.20130213.2,0.00,96.67,96.67,0,0,RI,5
11130.20130213.1,0.00,98.33,98.33,0,0,RI,5
11129.20130213.2,0.00,100.00,100.00,0,1,RI,5
11129.20130213.1,0.08,98.33,98.25,0,3,RI,4.5
11128.20130212.2,-1.62,92.00,93.62,10,13,RI,1
11128.20130212.1,-1.58,96.67,98.25,0,3,RI,4.5
11123.20130208.2,0.06,96.67,96.61,0,1,RI,5
*1.trial.txt.1,-98.21,0,98.21,60,4,RI,3.8
11114.20130121.2,1.90,89.83,87.93,1,2,rc,4
11114.20130121.1,3.66,88.14,84.48,1,2,rc,5
11113.20130124.2,-3.45,96.55,100.00,2,9,RI,3
11113.20130124.1,-1.14,96.36,97.50,5,20,RI,1
11109.20130114.2,0.00,85.00,85.00,0,0,rc,5
11109.20130114.1,0.00,80.00,80.00,0,0,rc,5
11106.20130108.2,0.00,98.33,98.33,0,0,rc,5
11106.20130108.1,-6.59,88.33,94.92,0,1,rc,5
11094.20121211.2,-2.30,81.03,83.33,2,0,rc,5
11094.20121211.1,-3.33,85.00,88.33,0,0,rc,4
11091.20121207.2,0.00,98.33,98.33,0,0,JP,5
11091.20121207.1,0.00,98.33,98.33,0,0,JP,5
11087.20121128.2,-1.69,98.31,100.00,1,0,LR,5
11087.20121128.1,0.00,100.00,100.00,0,0,LR,5
11084.20121126.2,0.00,100.00,100.00,0,1,JP,5
*1.trial.txt.1,-98.31,0,98.31,60,1,JP,5
11082.20121127.2,0.00,98.33,98.33,0,0,LR,5
11082.20121127.1,0.00,98.33,98.33,0,0,LR,5
11078.20121112.2,1.67,96.67,95.00,0,0,LR,5
11078.20121112.1,0.00,98.33,98.33,0,0,jp,5
11075.20121106.2,0.00,98.33,98.33,0,0,JP,5
11075.20121106.1,1.67,100.00,98.33,0,0,JP,5
11074.20121107.2,-1.69,91.53,93.22,1,1,LR,4.8
11074.20121107.1,0.07,98.25,98.18,3,5,LR,4.5
11070.20121101.2,0.00,100.00,100.00,1,4,RI,4
11070.20121101.1,0.00,96.67,96.67,0,0,RI,5
11066.20121029.2,0.00,96.67,96.67,0,0,RI,5
11066.20121029.1,-3.33,95.00,98.33,0,0,RI,5
11065.20121026.2,0.26,95.00,94.74,0,3,LR,4.5
11065.20121026.1,0.12,93.22,93.10,1,2,LR,4.5
11062.20121024.2,0.00,96.61,96.61,1,1,LR,5
11062.20121024.1,-2.74,88.33,91.07,0,4,LR,4.8
11059.20121025.2,0.00,95.00,95.00,0,0,LR,5
11059.20121025.1,0.00,96.67,96.67,0,0,LR,5
11058.20121022.2,-1.72,96.61,98.33,1,0,rc,5
11058.20121022.1,0.00,100.00,100.00,0,0,rc,5
11056.20121019.2,0.00,98.33,98.33,0,0,SC,4
11056.20121019.1,0.05,98.33,98.28,0,2,SC,4
11055.20121019.2,0.00,96.67,96.67,0,0,LR,5
11055.20121019.1,0.00,98.33,98.33,0,0,LR,5
10888.20121203.2,-0.02,98.31,98.33,1,0,LR,5
10888.20121203.1,-8.33,91.67,100.00,0,4,LR,4.5
10888.20110517.2,0.02,98.33,98.31,0,1,AW,5
10888.20110517.1,0.00,96.67,96.67,0,0,AW,5
10887.20121203.2,0.00,100.00,100.00,1,0,rc,5
10887.20121203.1,0.00,100.00,100.00,0,0,rc,5
10887.20110517.2,0.00,100.00,100.00,0,2,AW,5
10887.20110517.1,0.00,100.00,100.00,0,0,AW,5
10881.20121109.2,-1.67,95.00,96.67,0,0,,5
10881.20121109.1,0.00,100.00,100.00,0,0,,5
10881.20110421.2,-1.67,95.00,96.67,0,0,BF,5
10881.20110421.1,0.00,93.33,93.33,0,0,BF,4.5
10880.20120829.2,-9.89,83.33,93.22,0,1,RC,4
10880.20120829.1,-1.67,90.00,91.67,0,0,RC,4
10880.20110402.2,0.00,93.33,93.33,0,0,LR,4.5
10880.20110402.1,-1.67,90.00,91.67,0,0,LR,4
10879.20120820.2,0.00,100.00,100.00,0,0,RC,5
10879.20120820.1,0.00,100.00,100.00,0,0,RC,5
*2.trial.txt.2,-98.33,0,98.33,60,0,LR,5
*1.trial.txt.1,-98.28,0,98.28,60,2,LR,5
*2.trial.txt.2,-94.92,0,94.92,60,1,LR,4.5
*1.trial.txt.1,-96.49,0,96.49,60,3,LR,4.5
*2.trial.txt.2,-96.67,0,96.67,60,0,BF,5
*1.trial.txt.1,-93.22,0,93.22,60,1,BF,4.5
10874.20101223.2,0.00,96.67,96.67,0,0,BF,5
10874.20101223.1,-1.67,98.33,100.00,0,0,BF,5
10873.20120718.2,1.67,95.00,93.33,0,0,JP,5
10873.20120718.1,0.00,100.00,100.00,0,1,RI,4.8
10873.20101222.2,0.00,96.67,96.67,0,0,BF,5
10873.20101222.1,0.13,98.31,98.18,1,5,BF,4.5
10872.20120627.2,0.00,100.00,100.00,0,0,RI,5
10872.20120627.1,0.00,100.00,100.00,1,4,RI,4
10872.20101221.2,0.00,100.00,100.00,0,3,BF,5
10872.20101221.1,-1.58,96.67,98.25,0,3,BF,5
10871.20121027.2,-3.69,92.98,96.67,3,0,LR,5
10871.20121027.1,0.00,95.00,95.00,0,0,LR,4.8
10871.20101217.2,0.19,88.33,88.14,0,1,IO,3
10871.20101217.1,0.34,80.00,79.66,0,1,IO,3.5
10870.20101217.2,-1.41,93.33,94.74,0,3,IO,4.5
10870.20101217.1,0.25,96.61,96.36,1,5,IO,4
10869.20101214.2,-1.67,98.33,100.00,0,8,IO,4
10869.20101214.1,0.00,100.00,100.00,0,18,IO,2.5
10853.20101123.2,5.95,75.00,69.05,8,18,IO,1.5
10853.20101123.1,-6.78,32.61,39.39,14,27,IO,5
10852.20120831.2,0.00,98.33,98.33,0,0,RC,5
10852.20120831.1,1.66,98.33,96.67,0,0,RC,5
10852.20101117.2,0.59,97.56,96.97,19,27,LR,2
10852.20101117.1,0.00,100.00,100.00,0,0,LR,5
10851.20120904.2,-6.67,93.33,100.00,0,0,RC,5
10851.20120904.1,0.00,94.83,94.83,2,2,RC,5
10851.20101116.2,0.58,94.92,94.34,1,7,IO,4
10851.20101116.1,3.11,86.44,83.33,1,18,IO,2
10850.20120726.2,-1.67,95.00,96.67,0,0,JP,5
10850.20120726.1,0.00,100.00,100.00,0,0,JP,5
10850.20101109.2,0.00,98.33,98.33,0,0,LR,5
10850.20101109.1,0.00,98.33,98.33,0,0,LR,5
10849.20120726.2,-2.22,80.00,82.22,10,15,RI,2
10849.20120726.1,-10.60,72.73,83.33,27,30,RI,1
10849.20101109.2,-1.58,96.67,98.25,0,3,IO,4.5
10849.20101109.1,1.84,91.67,89.83,0,1,IO,4
10847.20120505.2,-3.27,89.83,93.10,1,2,RI,4
10847.20120505.1,-0.14,84.48,84.62,2,8,RI,3
10847.20100920.2,2.41,81.36,78.95,1,3,BF,3
10847.20100920.1,1.15,91.53,90.38,1,8,BF,4
*2.trial.txt.2,-86.54,0,86.54,60,8,IO,2
*1.trial.txt.1,-92.00,0,92.00,60,10,IO,2
10845.20120517.2,2.09,84.31,82.22,9,15,RI,1
10845.20120517.1,-3.88,74.55,78.43,5,9,RI,2.5
10845.20100906.2,-1.70,86.54,88.24,8,9,BF,4
10845.20100906.1,-1.69,88.14,89.83,1,1,BF,4
10843.20120319.2,0.00,100.00,100.00,0,0,BF,5
10843.20120319.1,0.00,100.00,100.00,1,3,BF,4.5
10843.20100806.2,0.00,96.67,96.67,0,0,CW,4.5
10843.20100806.1,0.06,96.67,96.61,0,1,CW,4.5
*2.trial.txt.2,-95.00,0,95.00,60,0,BF,5
*1.trial.txt.1,-83.05,0,83.05,60,1,BF,4
10841.20120604.2,0.00,100.00,100.00,0,0,RI,5
10841.20120604.1,0.00,100.00,100.00,0,0,RI,5
10841.20100728.2,0.11,93.33,93.22,0,1,CW,4.5
10841.20100728.1,-0.02,98.31,98.33,1,0,IO,5
10840.20120130.2,0.00,100.00,100.00,1,2,Justin Pena,5
10840.20120130.1,0.00,100.00,100.00,0,0,Justin Pena,5
