script time type targetPos
List1AV 43.5 as 3
List1AV 51 as 4
List1AV 61.5 as 6
List1AV 69 as 1
List1AV 76.5 as 5
List1AV 84 as 2
List1AV 91.5 as 6
List1AV 99 as 4
List1AV 106.5 as 2
List1AV 120 as 5
List1AV 127.5 as 1
List1AV 141 as 3
List1AV 210 ps 6
List1AV 223.5 ps 5
List1AV 231 ps 3
List1AV 241.5 ps 2
List1AV 252 ps 1
List1AV 259.5 ps 4
List1AV 267 ps 5
List1AV 274.5 ps 6
List1AV 282 ps 1
List1AV 292.5 ps 3
List1AV 300 ps 4
List1AV 307.5 ps 2
List2AV 43.5 as 4
List2AV 54 as 1
List2AV 61.5 as 5
List2AV 69 as 6
List2AV 76.5 as 2
List2AV 90 as 5
List2AV 97.5 as 1
List2AV 105 as 3
List2AV 115.5 as 2
List2AV 129 as 4
List2AV 136.5 as 6
List2AV 147 as 3
List2AV 211.5 ps 4
List2AV 219 ps 6
List2AV 226.5 ps 3
List2AV 240 ps 6
List2AV 247.5 ps 5
List2AV 255 ps 4
List2AV 262.5 ps 1
List2AV 276 ps 2
List2AV 286.5 ps 1
List2AV 294 ps 5
List2AV 304.5 ps 3
List2AV 315 ps 2
List3AV 42 as 5
List3AV 49.5 as 3
List3AV 57 as 3
List3AV 64.5 as 6
List3AV 78 as 2
List3AV 88.5 as 1
List3AV 96 as 4
List3AV 106.5 as 4
List3AV 120 as 2
List3AV 127.5 as 6
List3AV 135 as 1
List3AV 142.5 as 5
List3AV 210 ps 4
List3AV 217.5 ps 3
List3AV 228 ps 2
List3AV 241.5 ps 1
List3AV 249 ps 1
List3AV 262.5 ps 5
List3AV 270 ps 6
List3AV 277.5 ps 2
List3AV 288 ps 3
List3AV 295.5 ps 4
List3AV 303 ps 5
List3AV 310.5 ps 6
List4AV 42 as 4
List4AV 55.5 as 1
List4AV 63 as 6
List4AV 70.5 as 1
List4AV 84 as 3
List4AV 91.5 as 2
List4AV 102 as 5
List4AV 109.5 as 6
List4AV 120 as 5
List4AV 127.5 as 4
List4AV 135 as 3
List4AV 142.5 as 2
List4AV 213 ps 6
List4AV 223.5 ps 2
List4AV 231 ps 6
List4AV 238.5 ps 2
List4AV 249 ps 5
List4AV 256.5 ps 5
List4AV 264 ps 1
List4AV 271.5 ps 3
List4AV 285 ps 4
List4AV 292.5 ps 4
List4AV 300 ps 1
List4AV 313.5 ps 3
List5AV 43.5 as 2
List5AV 54 as 3
List5AV 61.5 as 3
List5AV 69 as 4
List5AV 79.5 as 5
List5AV 93 as 4
List5AV 100.5 as 6
List5AV 108 as 5
List5AV 115.5 as 1
List5AV 123 as 6
List5AV 136.5 as 2
List5AV 144 as 1
List5AV 210 ps 1
List5AV 217.5 ps 3
List5AV 225 ps 5
List5AV 235.5 ps 4
List5AV 243 ps 2
List5AV 253.5 ps 3
List5AV 261 ps 5
List5AV 274.5 ps 4
List5AV 282 ps 1
List5AV 289.5 ps 6
List5AV 297 ps 6
List5AV 307.5 ps 2
List6AV 45 as 1
List6AV 52.5 as 4
