"event" "xdat" "time" "trial" "etype" "run"
"3" "LCSDstartEM" 20 6.1 1 "start" 1
"7" "LCSD108" 122 10.5 1 "delay" 1
"10" "EndTrial" 250 13.4 1 "end" 1
"14" "startFIX" 60 13.6 2 "start" 1
"16" "targetFIX" 160 14.25 2 "delay" 1
"18" "EndTrial" 250 14.9 2 "end" 1
"22" "startFIX" 60 15.1 3 "start" 1
"24" "targetFIX" 160 15.75 3 "delay" 1
"26" "EndTrial" 250 16.4 3 "end" 1
"30" "startFIX" 60 16.6 4 "start" 1
"32" "targetFIX" 160 17.25 4 "delay" 1
"34" "EndTrial" 250 17.9 4 "end" 1
"38" "startFIX" 60 18.1 5 "start" 1
"40" "targetFIX" 160 18.75 5 "delay" 1
"42" "EndTrial" 250 19.4 5 "end" 1
"46" "startFIX" 60 19.6 6 "start" 1
"48" "targetFIX" 160 20.25 6 "delay" 1
"50" "EndTrial" 250 20.9 6 "end" 1
"54" "startFIX" 60 21.1 7 "start" 1
"56" "targetFIX" 160 21.75 7 "delay" 1
"58" "EndTrial" 250 22.4 7 "end" 1
"62" "LCLDstartEM" 30 22.6 8 "start" 1
"66" "LCLD7" 131 27 8 "delay" 1
"69" "EndTrial" 250 37.4 8 "end" 1
"73" "startFIX" 60 37.6 9 "start" 1
"75" "targetFIX" 160 38.25 9 "delay" 1
"77" "EndTrial" 250 38.9 9 "end" 1
"81" "startFIX" 60 39.1 10 "start" 1
"83" "targetFIX" 160 39.75 10 "delay" 1
"85" "EndTrial" 250 40.4 10 "end" 1
"89" "startFIX" 60 40.6 11 "start" 1
"91" "targetFIX" 160 41.25 11 "delay" 1
"93" "EndTrial" 250 41.9 11 "end" 1
"97" "startFIX" 60 42.1 12 "start" 1
"99" "targetFIX" 160 42.75 12 "delay" 1
"101" "EndTrial" 250 43.4 12 "end" 1
"105" "startFIX" 60 43.6 13 "start" 1
"107" "targetFIX" 160 44.25 13 "delay" 1
"109" "EndTrial" 250 44.9 13 "end" 1
"113" "SCLDstartEM" 50 45.1 14 "start" 1
"117" "SCLD214" 153 48 14 "delay" 1
"120" "EndTrial" 250 58.4 14 "end" 1
"124" "startFIX" 60 58.6 15 "start" 1
"126" "targetFIX" 160 59.25 15 "delay" 1
