script cueTime targetTime type targetPos
List1AV 43.5 46.5 as 3
List1AV 51 54 as 4
List1AV 61.5 64.5 as 6
List1AV 69 72 as 1
List1AV 76.5 79.5 as 5
List1AV 84 87 as 2
List1AV 91.5 94.5 as 6
List1AV 99 102 as 4
List1AV 106.5 109.5 as 2
List1AV 120 123 as 5
List1AV 127.5 130.5 as 1
List1AV 141 144 as 3
List1AV 210 213 ps 6
List1AV 223.5 226.5 ps 5
List1AV 231 234 ps 3
List1AV 241.5 244.5 ps 2
List1AV 252 255 ps 1
List1AV 259.5 262.5 ps 4
List1AV 267 270 ps 5
List1AV 274.5 277.5 ps 6
List1AV 282 285 ps 1
List1AV 292.5 295.5 ps 3
List1AV 300 303 ps 4
List1AV 307.5 310.5 ps 2
List2AV 43.5 46.5 as 4
List2AV 54 57 as 1
List2AV 61.5 64.5 as 5
List2AV 69 72 as 6
List2AV 76.5 79.5 as 2
List2AV 90 93 as 5
List2AV 97.5 100.5 as 1
List2AV 105 108 as 3
List2AV 115.5 118.5 as 2
List2AV 129 132 as 4
List2AV 136.5 139.5 as 6
List2AV 147 150 as 3
List2AV 211.5 214.5 ps 4
List2AV 219 222 ps 6
List2AV 226.5 229.5 ps 3
List2AV 240 243 ps 6
List2AV 247.5 250.5 ps 5
List2AV 255 258 ps 4
List2AV 262.5 265.5 ps 1
List2AV 276 279 ps 2
List2AV 286.5 289.5 ps 1
List2AV 294 297 ps 5
List2AV 304.5 307.5 ps 3
List2AV 315 318 ps 2
List3AV 42 45 as 5
List3AV 49.5 52.5 as 3
List3AV 57 60 as 3
List3AV 64.5 67.5 as 6
List3AV 78 81 as 2
List3AV 88.5 91.5 as 1
List3AV 96 99 as 4
List3AV 106.5 109.5 as 4
List3AV 120 123 as 2
List3AV 127.5 130.5 as 6
List3AV 135 138 as 1
List3AV 142.5 145.5 as 5
List3AV 210 213 ps 4
List3AV 217.5 220.5 ps 3
List3AV 228 231 ps 2
List3AV 241.5 244.5 ps 1
List3AV 249 252 ps 1
List3AV 262.5 265.5 ps 5
List3AV 270 273 ps 6
List3AV 277.5 280.5 ps 2
List3AV 288 291 ps 3
List3AV 295.5 298.5 ps 4
List3AV 303 306 ps 5
List3AV 310.5 313.5 ps 6
List4AV 42 45 as 4
List4AV 55.5 58.5 as 1
List4AV 63 66 as 6
List4AV 70.5 73.5 as 1
List4AV 84 87 as 3
List4AV 91.5 94.5 as 2
List4AV 102 105 as 5
List4AV 109.5 112.5 as 6
List4AV 120 123 as 5
List4AV 127.5 130.5 as 4
List4AV 135 138 as 3
List4AV 142.5 145.5 as 2
List4AV 213 216 ps 6
List4AV 223.5 226.5 ps 2
List4AV 231 234 ps 6
List4AV 238.5 241.5 ps 2
List4AV 249 252 ps 5
List4AV 256.5 259.5 ps 5
List4AV 264 267 ps 1
List4AV 271.5 274.5 ps 3
List4AV 285 288 ps 4
List4AV 292.5 295.5 ps 4
List4AV 300 303 ps 1
List4AV 313.5 316.5 ps 3
List5AV 43.5 46.5 as 2
List5AV 54 57 as 3
List5AV 61.5 64.5 as 3
List5AV 69 72 as 4
List5AV 79.5 82.5 as 5
List5AV 93 96 as 4
List5AV 100.5 103.5 as 6
List5AV 108 111 as 5
List5AV 115.5 118.5 as 1
List5AV 123 126 as 6
List5AV 136.5 139.5 as 2
List5AV 144 147 as 1
List5AV 210 213 ps 1
List5AV 217.5 220.5 ps 3
List5AV 225 228 ps 5
List5AV 235.5 238.5 ps 4
List5AV 243 246 ps 2
List5AV 253.5 256.5 ps 3
List5AV 261 264 ps 5
List5AV 274.5 277.5 ps 4
List5AV 282 285 ps 1
List5AV 289.5 292.5 ps 6
List5AV 297 300 ps 6
List5AV 307.5 310.5 ps 2
List6AV 45 48 as 1
List6AV 52.5 55.5 as 4
List6AV 60 63 as 5
List6AV 73.5 76.5 as 1
List6AV 84 87 as 3
List6AV 91.5 94.5 as 5
List6AV 102 105 as 6
List6AV 109.5 112.5 as 2
List6AV 117 120 as 3
List6AV 127.5 130.5 as 2
List6AV 141 144 as 4
List6AV 148.5 151.5 as 6
List6AV 216 219 ps 4
List6AV 223.5 226.5 ps 5
List6AV 234 237 ps 6
List6AV 241.5 244.5 ps 4
List6AV 255 258 ps 1
List6AV 262.5 265.5 ps 3
List6AV 273 276 ps 1
List6AV 280.5 283.5 ps 5
List6AV 288 291 ps 3
List6AV 295.5 298.5 ps 2
List6AV 309 312 ps 6
List6AV 316.5 319.5 ps 2
List7AV 40.5 43.5 as 6
List7AV 48 51 as 1
List7AV 55.5 58.5 as 5
List7AV 66 69 as 5
List7AV 73.5 76.5 as 4
List7AV 87 90 as 6
List7AV 97.5 100.5 as 1
List7AV 105 108 as 2
List7AV 112.5 115.5 as 3
List7AV 126 129 as 4
List7AV 133.5 136.5 as 2
List7AV 141 144 as 3
List7AV 213 216 ps 2
List7AV 226.5 229.5 ps 1
List7AV 234 237 ps 4
List7AV 241.5 244.5 ps 3
