run cueTime cueLength delayTime delayLength targetTime targetPos
1 1.5 3 4.5 1.5 6 2
1 18 3 21 9 30 1
1 40.5 1.5 42 9 51 3
1 63 3 66 9 75 5
1 82.5 1.5 84 9 93 1
1 105 1.5 106.5 1.5 108 2
1 114 3 117 1.5 118.5 4
1 130.5 1.5 132 1.5 133.5 4
1 141 3 144 9 153 3
1 159 3 162 1.5 163.5 6
1 171 3 174 9 183 4
1 193.5 1.5 195 9 204 2
1 217.5 1.5 219 1.5 220.5 1
1 231 3 234 1.5 235.5 5
1 243 3 246 9 255 2
1 264 1.5 265.5 9 274.5 5
1 280.5 1.5 282 1.5 283.5 6
1 294 3 297 1.5 298.5 3
1 306 1.5 307.5 9 316.5 6
1 327 1.5 328.5 1.5 330 5
2 1.5 1.5 3 9 12 5
2 19.5 1.5 21 9 30 3
2 37.5 3 40.5 1.5 42 4
2 49.5 1.5 51 1.5 52.5 1
2 64.5 1.5 66 1.5 67.5 5
2 73.5 3 76.5 1.5 78 2
2 87 3 90 9 99 3
2 109.5 1.5 111 9 120 1
2 126 3 129 9 138 4
2 145.5 3 148.5 1.5 150 3
2 160.5 3 163.5 1.5 165 5
2 177 3 180 9 189 1
2 202.5 3 205.5 1.5 207 6
2 220.5 1.5 222 9 231 6
2 241.5 1.5 243 1.5 244.5 2
2 256.5 1.5 258 1.5 259.5 4
2 265.5 3 268.5 9 277.5 5
2 286.5 1.5 288 9 297 2
2 312 1.5 313.5 1.5 315 6
2 325.5 3 328.5 9 337.5 2
3 1.5 3 4.5 9 13.5 4
3 21 3 24 1.5 25.5 5
3 33 3 36 9 45 3
3 54 1.5 55.5 1.5 57 5
3 67.5 3 70.5 9 79.5 1
3 87 1.5 88.5 9 97.5 1
3 109.5 3 112.5 1.5 114 2
3 120 3 123 1.5 124.5 4
3 132 1.5 133.5 1.5 135 1
3 141 1.5 142.5 9 151.5 5
3 165 3 168 1.5 169.5 3
3 181.5 1.5 183 9 192 3
3 202.5 3 205.5 1.5 207 6
3 216 1.5 217.5 1.5 219 2
3 231 3 234 9 243 5
3 253.5 1.5 255 9 264 2
3 277.5 1.5 279 1.5 280.5 6
3 295.5 1.5 297 1.5 298.5 4
3 306 1.5 307.5 9 316.5 6
3 322.5 3 325.5 9 334.5 2
