subj,date,trial,sac.type,score,lat
10002,19000101,2,anti,1,183
10002,19000101,3,anti,1,183
10002,19000101,5,vgs,1,200
10002,19000101,6,vgs,1,183
10002,19000101,7,vgs,1,200
10002,19000101,9,anti,2,133
10002,19000101,10,vgs,1,183
10002,19000101,14,anti,1,217
10002,19000101,15,vgs,1,133
10002,19000101,16,anti,1,267
10002,19000101,18,vgs,1,217
10002,19000101,20,anti,1,383
10002,19000101,22,vgs,1,183
10002,19000101,24,vgs,1,183
10002,19000101,27,anti,1,383
10002,19000101,28,vgs,1,117
10002,19000101,29,anti,1,317
10002,19000101,30,anti,1,350
10002,19000101,31,vgs,0,300
10002,19000101,32,anti,0,250
10002,19000101,34,anti,1,50
10002,19000101,36,vgs,1,217
10002,19000101,38,anti,1,267
10002,19000101,41,vgs,1,250
10002,19000101,42,anti,0,300
10002,19000101,43,anti,1,233
10002,19000101,46,vgs,1,283
10002,19000101,48,vgs,1,183
10006,19000101,1,vgs,1,200
10006,19000101,2,vgs,1,117
10006,19000101,4,anti,1,467
10006,19000101,6,vgs,1,200
10006,19000101,7,vgs,1,250
10006,19000101,11,anti,1,550
10006,19000101,13,anti,1,400
10006,19000101,14,anti,1,333
10006,19000101,15,anti,1,300
10006,19000101,16,anti,0,250
10006,19000101,17,vgs,1,150
10006,19000101,18,vgs,1,350
10006,19000101,20,vgs,1,217
10006,19000101,22,anti,1,450
10006,19000101,23,vgs,1,133
10006,19000101,24,anti,0,133
10006,19000101,27,vgs,1,267
10006,19000101,28,anti,0,567
10006,19000101,29,vgs,1,383
10006,19000101,30,anti,1,317
10006,19000101,31,vgs,1,167
10006,19000101,32,vgs,1,100
10006,19000101,33,vgs,1,200
10006,19000101,35,anti,0,150
10006,19000101,36,anti,1,600
10006,19000101,37,anti,1,533
10006,19000101,39,anti,1,317
10006,19000101,41,anti,1,283
10006,19000101,43,vgs,1,183
10006,19000101,44,vgs,1,300
10006,19000101,46,vgs,1,317
10022,20031229,2,anti,0,217
10022,20031229,6,vgs,1,133
10022,20031229,7,vgs,1,400
10022,20031229,8,anti,1,333
10022,20031229,10,anti,0,133
10022,20031229,11,anti,0,167
10022,20031229,12,anti,1,250
10022,20031229,13,vgs,1,167
10022,20031229,15,vgs,1,167
10022,20031229,17,vgs,1,283
10022,20031229,19,anti,1,283
10022,20031229,21,vgs,1,133
10022,20031229,28,anti,1,333
10022,20031229,29,vgs,1,150
10022,20031229,30,anti,1,367
10022,20031229,35,anti,1,300
10022,20031229,36,anti,0,167
10022,20031229,38,vgs,1,967
10022,20031229,39,vgs,1,167
10022,20031229,40,anti,1,367
10022,20031229,41,vgs,1,200
10022,20031229,42,anti,1,467
10022,20031229,43,anti,1,450
10022,20031229,44,anti,0,367
10022,20031229,45,anti,0,317
10022,20031229,47,vgs,1,150
10102,20041021,1,vgs,1,167
10102,20041021,2,vgs,1,250
10102,20041021,3,anti,1,317
10102,20041021,4,vgs,1,283
10102,20041021,5,vgs,1,250
10102,20041021,6,anti,0,183
10102,20041021,7,anti,1,233
10102,20041021,8,anti,1,300
10102,20041021,11,vgs,1,217
10102,20041021,12,vgs,1,150
10102,20041021,13,anti,1,283
10102,20041021,14,anti,0,267
10102,20041021,17,vgs,1,217
10102,20041021,21,anti,1,250
10102,20041021,22,vgs,1,167
10102,20041021,23,anti,1,283
10102,20041021,25,anti,1,267
10102,20041021,26,vgs,1,233
10102,20041021,27,vgs,1,167
10102,20041021,29,anti,1,300
10102,20041021,30,anti,1,300
10102,20041021,32,vgs,1,217
10102,20041021,33,vgs,1,167
10102,20041021,34,vgs,1,167
10102,20041021,35,anti,1,300
10102,20041021,38,anti,1,283
10102,20041021,39,vgs,1,167
10102,20041021,41,anti,1,317
10102,20041021,43,anti,1,300
10102,20041021,45,vgs,1,117
10102,20041021,46,vgs,1,200
10105,20050209,1,anti,1,10767
10105,20050209,2,anti,1,300
10105,20050209,3,vgs,1,217
10105,20050209,5,vgs,1,217
10105,20050209,6,anti,1,333
10105,20050209,7,vgs,1,300
10105,20050209,8,anti,1,267
10105,20050209,9,vgs,1,283
10105,20050209,10,vgs,1,183
10105,20050209,11,anti,1,283
10105,20050209,12,vgs,1,233
10105,20050209,13,anti,1,250
10105,20050209,19,vgs,1,200
10105,20050209,20,anti,1,283
10105,20050209,21,vgs,1,233
10105,20050209,23,vgs,1,233
10105,20050209,24,anti,1,300
10105,20050209,25,anti,1,383
10105,20050209,26,vgs,1,833
10105,20050209,27,anti,0,267
10105,20050209,28,vgs,1,217
10105,20050209,29,anti,1,267
10105,20050209,30,vgs,1,700
10105,20050209,31,anti,1,233
10105,20050209,32,vgs,1,150
10105,20050209,35,vgs,1,250
10105,20050209,38,anti,1,250
10105,20050209,39,anti,1,350
10105,20050209,41,vgs,1,583
10105,20050209,44,anti,1,433
10105,20050209,45,anti,1,233
10105,20050209,48,vgs,1,250
10109,20050223,1,vgs,1,233
10109,20050223,5,vgs,1,200
10109,20050223,6,anti,1,267
10109,20050223,7,vgs,1,333
10109,20050223,8,vgs,1,250
10109,20050223,9,vgs,1,200
10109,20050223,10,anti,1,283
10109,20050223,11,anti,1,200
10109,20050223,12,vgs,1,150
10109,20050223,13,anti,1,217
10109,20050223,14,vgs,1,250
10109,20050223,17,anti,1,267
10109,20050223,20,vgs,1,200
10109,20050223,21,vgs,1,167
10109,20050223,22,vgs,1,250
10109,20050223,23,anti,1,267
10109,20050223,24,anti,1,300
10109,20050223,26,anti,1,200
10109,20050223,27,anti,0,150
10109,20050223,28,anti,1,250
10109,20050223,29,vgs,1,183
10109,20050223,30,anti,1,200
10109,20050223,32,vgs,1,167
10109,20050223,34,anti,1,300
10109,20050223,36,anti,0,167
10109,20050223,38,anti,1,400
10109,20050223,39,anti,1,217
10109,20050223,40,anti,1,267
10109,20050223,41,vgs,1,167
10109,20050223,44,vgs,1,750
10109,20050223,46,vgs,1,183
10109,20050223,47,vgs,1,200
10110,20050302,2,vgs,1,167
10110,20050302,3,anti,1,267
10110,20050302,4,anti,1,250
10110,20050302,8,vgs,1,150
10110,20050302,9,anti,0,183
10110,20050302,14,vgs,1,217
10110,20050302,20,vgs,1,150
10110,20050302,21,vgs,1,183
10110,20050302,22,vgs,1,67
10110,20050302,23,anti,1,333
10110,20050302,25,anti,1,317
10110,20050302,26,vgs,0,300
10110,20050302,27,vgs,1,200
