trial	count_a	lat_a	count_m	lat_m	scorer
*11157.20130501.4.1	-1	-1	-1	-1	LR
*11157.20130501.4.2	-1	-1	2	333	LR
*11157.20130501.4.3	-1	-1	1	483	LR
*11157.20130501.4.4	-1	-1	0	600	LR
*11157.20130501.4.5	-1	-1	1	450	LR
*11157.20130501.4.6	-1	-1	-1	-1	LR
*11157.20130501.4.7	-1	-1	-1	-1	LR
*11157.20130501.4.8	-1	-1	1	583	LR
*11157.20130501.4.9	-1	-1	1	733	LR
*11157.20130501.4.10	-1	-1	1	533	LR
*11157.20130501.4.11	-1	-1	1	433	LR
*11157.20130501.4.12	-1	-1	1	500	LR
*11157.20130501.4.13	-1	-1	1	567	LR
*11157.20130501.4.14	-1	-1	1	417	LR
*11157.20130501.4.15	-1	-1	-1	-1	LR
*11157.20130501.4.16	-1	-1	-1	-1	LR
*11157.20130501.4.17	-1	-1	-1	-1	LR
*11157.20130501.4.18	-1	-1	-1	-1	LR
*11157.20130501.4.19	-1	-1	1	417	LR
*11157.20130501.4.20	-1	-1	-1	-1	LR
*11157.20130501.4.21	-1	-1	0	1117	LR
*11157.20130501.4.22	-1	-1	1	733	LR
*11157.20130501.4.23	-1	-1	-1	-1	LR
*11157.20130501.4.24	-1	-1	1	500	LR
*11157.20130501.4.25	-1	-1	0	300	LR
*11157.20130501.4.26	-1	-1	1	617	LR
*11157.20130501.4.27	-1	-1	1	467	LR
*11157.20130501.4.28	-1	-1	1	400	LR
*11157.20130501.4.29	-1	-1	-1	-1	LR
*11157.20130501.4.30	-1	-1	1	433	LR
*11157.20130501.4.31	-1	-1	-1	-1	LR
*11157.20130501.4.32	-1	-1	0	267	LR
*11157.20130501.4.33	-1	-1	1	750	LR
*11157.20130501.4.34	-1	-1	1	517	LR
*11157.20130501.4.35	-1	-1	0	117	LR
*11157.20130501.4.36	-1	-1	-1	-1	LR
*11157.20130501.4.37	-1	-1	1	700	LR
*11157.20130501.4.38	-1	-1	-1	-1	LR
*11157.20130501.4.39	-1	-1	1	467	LR
*11157.20130501.4.40	-1	-1	-1	-1	LR
*11157.20130501.4.41	-1	-1	0	467	LR
*11157.20130501.4.42	-1	-1	-1	-1	LR
11157.20130501.3.1	2	337	2	367	LR
11157.20130501.3.2	1	485	1	500	LR
11157.20130501.3.3	2	613	0	650	LR
11157.20130501.3.4	-1	-1	0	333	LR
11157.20130501.3.5	1	489	1	517	LR
11157.20130501.3.6	1	629	1	650	LR
11157.20130501.3.7	-1	-1	0	450	LR
11157.20130501.3.8	-1	-1	-1	-1	LR
11157.20130501.3.9	1	421	1	450	LR
11157.20130501.3.10	1	469	1	483	LR
11157.20130501.3.11	1	489	1	517	LR
11157.20130501.3.12	1	669	1	650	LR
11157.20130501.3.13	1	505	1	483	LR
11157.20130501.3.14	1	457	1	483	LR
11157.20130501.3.15	1	513	1	550	LR
11157.20130501.3.16	1	477	1	500	LR
11157.20130501.3.17	1	421	1	433	LR
11157.20130501.3.18	1	433	1	433	LR
