trial	count_a	lat_a	count_m	lat_m	scorer	xdat	reason
11185.20130627.4.1	1	429	1	333	RC	147	
11185.20130627.4.2	1	357	1	400	RC	130	
11185.20130627.4.3	1	377	1	417	RC	202	
11185.20130627.4.4	-1	NA	1	383	RC	149	first good sac has poor tracking ( 0.23 < 0.80 obvervedsamples/expected)
11185.20130627.4.5	1	417	1	450	RC	201	
11185.20130627.4.6	1	549	1	483	RC	202	
11185.20130627.4.7	1	493	1	450	RC	129	
11185.20130627.4.8	2	425	0	450	RC	129	
11185.20130627.4.9	1	449	1	483	RC	150	
11185.20130627.4.10	1	381	-1	-1	RC	149	
11185.20130627.4.11	1	373	1	400	RC	130	
11185.20130627.4.12	1	417	1	450	RC	127	
11185.20130627.4.13	1	389	1	367	RC	203	
11185.20130627.4.14	1	493	1	517	RC	204	
11185.20130627.4.15	-1	NA	-1	-1	RC	129	no saccades (getSacs)
11185.20130627.4.16	1	437	1	367	RC	150	
11185.20130627.4.17	1	421	1	450	RC	128	
11185.20130627.4.18	1	393	1	417	RC	204	
11185.20130627.4.19	1	417	1	417	RC	203	
11185.20130627.4.20	1	425	-1	-1	RC	148	
11185.20130627.4.21	1	421	1	433	RC	149	
11185.20130627.4.22	1	457	1	483	RC	201	
11185.20130627.4.23	-1	NA	-1	-1	RC	203	average fixpos(181.037500) is off from baseline(130.500000)!
11185.20130627.4.24	1	449	1	450	RC	127	
11185.20130627.4.25	1	425	1	450	RC	150	
11185.20130627.4.26	2	457	2	467	RC	147	
11185.20130627.4.27	1	393	1	417	RC	148	
11185.20130627.4.28	1	481	1	500	RC	128	
11185.20130627.4.29	1	373	1	317	RC	127	
11185.20130627.4.30	1	505	1	517	RC	127	
11185.20130627.4.31	1	485	1	450	RC	147	
11185.20130627.4.32	2	368	0	383	RC	204	
11185.20130627.4.33	1	444	1	450	RC	148	
11185.20130627.4.34	1	477	1	500	RC	201	
11185.20130627.4.35	1	401	1	433	RC	204	
11185.20130627.4.36	1	380	1	383	RC	130	
11185.20130627.4.37	1	615	1	617	RC	128	
11185.20130627.4.38	1	446	1	467	RC	202	
11185.20130627.4.39	1	457	1	433	RC	147	
11185.20130627.4.40	1	521	1	483	RC	150	
11185.20130627.4.41	1	441	1	450	RC	201	
11185.20130627.4.42	1	489	1	517	RC	130	
11185.20130627.3.1	1	445	1	417	RC	147	
11185.20130627.3.2	1	401	1	433	RC	127	
11185.20130627.3.3	1	513	1	517	RC	129	
11185.20130627.3.4	1	461	1	483	RC	147	
11185.20130627.3.5	1	405	-1	-1	RC	202	
11185.20130627.3.6	1	425	1	417	RC	129	
11185.20130627.3.7	1	461	1	483	RC	127	
11185.20130627.3.8	1	445	1	433	RC	204	
11185.20130627.3.9	1	529	1	517	RC	201	
11185.20130627.3.10	2	395	0	417	RC	150	
11185.20130627.3.11	1	417	1	433	RC	203	
11185.20130627.3.12	1	477	1	500	RC	201	
11185.20130627.3.13	1	429	1	450	RC	128	
11185.20130627.3.14	1	421	1	450	RC	147	
11185.20130627.3.15	1	481	1	517	RC	149	
11185.20130627.3.16	1	477	1	483	RC	202	
11185.20130627.3.17	-1	NA	-1	-1	RC	128	no saccades (getSacs)
11185.20130627.3.18	1	377	1	400	RC	202	
11185.20130627.3.19	1	465	1	483	RC	150	
11185.20130627.3.20	1	530	1	533	RC	128	
11185.20130627.3.21	1	417	1	450	RC	129	
11185.20130627.3.22	1	521	1	533	RC	148	
11185.20130627.3.23	1	502	1	533	RC	148	
11185.20130627.3.24	1	565	1	583	RC	130	
11185.20130627.3.25	1	481	1	500	RC	204	
11185.20130627.3.26	2	361	-1	-1	RC	147	
11185.20130627.3.27	1	493	-1	-1	RC	203	
11185.20130627.3.28	1	433	1	467	RC	130	
11185.20130627.3.29	1	577	1	600	RC	149	
11185.20130627.3.30	1	445	1	483	RC	203	
11185.20130627.3.31	1	437	1	433	RC	130	
11185.20130627.3.32	1	589	1	600	RC	149	
11185.20130627.3.33	1	575	1	600	RC	127	
11185.20130627.3.34	1	425	-1	-1	RC	150	
11185.20130627.3.35	1	473	1	517	RC	204	
11185.20130627.3.36	1	453	1	450	RC	148	
11185.20130627.3.37	1	413	1	433	RC	127	
11185.20130627.3.38	1	437	1	433	RC	204	
11185.20130627.3.39	1	745	1	667	RC	130	
11185.20130627.3.40	1	413	1	417	RC	150	
11185.20130627.3.41	-1	NA	-1	-1	RC	201	average fixpos(189.225000) is off from baseline(130.500000)!
11185.20130627.3.42	1	561	-1	-1	RC	201	
11185.20130627.2.1	1	441	1	367	RC	127	
11185.20130627.2.2	1	405	1	417	RC	147	
11185.20130627.2.3	2	385	2	383	RC	127	
11185.20130627.2.4	1	505	1	533	RC	204	
11185.20130627.2.5	1	457	1	483	RC	150	
11185.20130627.2.6	-1	NA	1	450	RC	129	first good sac has poor tracking ( 0.50 < 0.80 obvervedsamples/expected)
11185.20130627.2.7	1	565	-1	-1	RC	150	
11185.20130627.2.8	1	453	1	483	RC	147	
11185.20130627.2.9	1	537	1	567	RC	203	
11185.20130627.2.10	-1	NA	1	467	RC	149	first good sac has poor tracking ( 0.38 < 0.80 obvervedsamples/expected)
11185.20130627.2.11	1	481	1	483	RC	130	
11185.20130627.2.12	2	350	2	383	RC	127	
11185.20130627.2.13	1	477	1	433	RC	201	
11185.20130627.2.14	1	429	1	433	RC	202	
11185.20130627.2.15	-1	NA	1	450	RC	203	first good sac has poor tracking ( 0.30 < 0.80 obvervedsamples/expected)
11185.20130627.2.16	1	509	1	533	RC	148	
11185.20130627.2.17	1	429	1	450	RC	148	
11185.20130627.2.18	1	453	1	483	RC	204	
11185.20130627.2.19	1	465	1	483	RC	148	
11185.20130627.2.20	-1	NA	-1	-1	RC	127	blink ends before any saccades
11185.20130627.2.21	2	509	1	467	RC	129	
11185.20130627.2.22	1	469	1	500	RC	128	
11185.20130627.2.23	1	581	1	600	RC	130	
11185.20130627.2.24	1	481	1	517	RC	204	
11185.20130627.2.25	1	409	1	433	RC	149	
11185.20130627.2.26	1	397	1	400	RC	149	
11185.20130627.2.27	1	397	-1	-1	RC	204	
11185.20130627.2.28	1	526	1	533	RC	128	
11185.20130627.2.29	1	497	1	517	RC	130	
11185.20130627.2.30	1	529	1	550	RC	150	
11185.20130627.2.31	1	629	1	650	RC	201	
11185.20130627.2.32	1	565	1	600	RC	201	
11185.20130627.2.33	1	433	1	467	RC	147	
11185.20130627.2.34	1	481	1	500	RC	129	
11185.20130627.2.35	1	437	1	467	RC	202	
11185.20130627.2.36	1	469	1	483	RC	202	
11185.20130627.2.37	1	441	1	450	RC	130	
11185.20130627.2.38	1	489	1	500	RC	147	
11185.20130627.2.39	1	429	1	467	RC	128	
11185.20130627.2.40	-1	NA	1	467	RC	203	first good sac has poor tracking ( 0.40 < 0.80 obvervedsamples/expected)
11185.20130627.2.41	1	413	1	433	RC	150	
11185.20130627.2.42	1	477	1	467	RC	201	
11185.20130627.1.1	1	397	1	283	RC	201	
11185.20130627.1.2	1	399	1	367	RC	149	
11185.20130627.1.3	1	393	-1	-1	RC	129	
11185.20130627.1.4	-1	NA	-1	-1	RC	203	blink before target onset
11185.20130627.1.5	1	469	1	483	RC	201	
11185.20130627.1.6	2	239	1	367	RC	130	
11185.20130627.1.7	1	577	1	617	RC	201	
11185.20130627.1.8	2	559	1	433	RC	149	
11185.20130627.1.9	1	473	-1	-1	RC	147	
11185.20130627.1.10	1	425	-1	-1	RC	202	
11185.20130627.1.11	1	361	1	350	RC	128	
11185.20130627.1.12	2	425	1	367	RC	129	
11185.20130627.1.13	1	441	-1	-1	RC	127	
11185.20130627.1.14	2	457	-1	-1	RC	150	
11185.20130627.1.15	2	189	1	167	RC	130	
11185.20130627.1.16	-1	NA	-1	-1	RC	201	first good sac has poor tracking ( 0.78 < 0.80 obvervedsamples/expected)
11185.20130627.1.17	2	525	1	367	RC	150	
11185.20130627.1.18	1	425	-1	-1	RC	128	
11185.20130627.1.19	2	339	0	317	RC	204	
11185.20130627.1.20	2	305	0	350	RC	150	
11185.20130627.1.21	2	412	1	283	RC	203	
11185.20130627.1.22	1	436	-1	-1	RC	130	
11185.20130627.1.23	2	461	1	400	RC	203	
11185.20130627.1.24	2	477	-1	-1	RC	204	
11185.20130627.1.25	1	407	1	433	RC	148	
11185.20130627.1.26	1	452	1	400	RC	147	
11185.20130627.1.27	1	505	1	517	RC	127	
11185.20130627.1.28	1	521	1	500	RC	147	
11185.20130627.1.29	1	502	1	450	RC	127	
11185.20130627.1.30	2	323	0	350	RC	204	
11185.20130627.1.31	1	461	1	467	RC	147	
