trial	count_a	lat_a	count_m	lat_m	scorer	xdat
11174.20130604.1.1	1	221	1	133	RC	122
11174.20130604.1.2	1	135	1	133	RC	123
11174.20130604.1.3	1	167	1	150	RC	123
11174.20130604.1.4	1	169	1	167	RC	124
11174.20130604.1.5	1	189	1	183	RC	124
11174.20130604.1.6	1	277	1	283	RC	124
11174.20130604.1.7	1	142	1	150	RC	123
11174.20130604.1.8	1	140	1	150	RC	123
11174.20130604.1.9	1	159	1	167	RC	124
11174.20130604.1.10	0	94	0	100	RC	121
11174.20130604.1.11	1	NA	1	167	RC	122
11174.20130604.1.12	-1	-1	1	183	RC	
11174.20130604.1.13	-1	-1	1	500	RC	
11174.20130604.1.14	1	154	1	167	RC	124
11174.20130604.1.15	1	154	1	150	RC	123
11174.20130604.1.16	-1	-1	1	200	RC	
11174.20130604.1.17	1	172	1	150	RC	123
11174.20130604.1.18	-1	-1	-1	-1	RC	
11174.20130604.1.19	1	233	1	217	RC	122
11174.20130604.1.20	1	167	1	150	RC	122
11174.20130604.1.21	1	NA	1	83	RC	122
11174.20130604.1.22	1	207	1	217	RC	121
11174.20130604.1.23	-1	-1	1	233	RC	
11174.20130604.1.24	1	457	1	450	RC	124
11174.20130604.1.25	-1	-1	1	100	RC	
11174.20130604.1.26	1	204	1	200	RC	121
11174.20130604.1.27	0	150	0	167	RC	121
11174.20130604.1.28	-1	-1	1	167	RC	
11174.20130604.1.29	1	395	1	350	RC	124
11174.20130604.1.30	1	176	1	167	RC	123
11174.20130604.1.31	1	182	1	167	RC	121
11174.20130604.1.32	0	164	1	133	RC	121
11174.20130604.1.33	1	217	1	217	RC	121
11174.20130604.1.34	1	233	1	233	RC	123
11174.20130604.1.35	1	187	1	200	RC	121
11174.20130604.1.36	1	NA	-1	-1	RC	123
11174.20130604.1.37	1	275	1	300	RC	124
11174.20130604.1.38	-1	-1	-1	-1	RC	
11174.20130604.1.39	1	206	1	200	RC	121
11174.20130604.1.40	1	199	1	200	RC	122
11174.20130604.1.41	1	208	1	200	RC	123
11174.20130604.1.42	1	224	1	200	RC	124
11174.20130604.1.43	1	270	1	217	RC	122
11174.20130604.1.44	1	167	1	167	RC	124
11174.20130604.1.45	1	326	1	333	RC	121
11174.20130604.1.46	1	NA	-1	-1	RC	121
11174.20130604.1.47	1	277	1	283	RC	124
11174.20130604.1.48	1	152	1	150	RC	123
11151.20130408.1.1	1	208	1	175	LR	122
11151.20130408.1.2	1	282	1	283	LR	121
11151.20130408.1.3	1	262	1	283	LR	121
11151.20130408.1.4	1	169	1	167	LR	122
11151.20130408.1.5	1	253	1	250	LR	122
11151.20130408.1.6	1	294	1	300	LR	124
11151.20130408.1.7	1	267	1	267	LR	122
11151.20130408.1.8	1	233	1	217	LR	123
11151.20130408.1.9	1	228	1	233	LR	121
11151.20130408.1.10	1	88	1	83	LR	123
11151.20130408.1.11	1	201	1	200	LR	123
11151.20130408.1.12	1	235	1	233	LR	123
11151.20130408.1.13	1	351	1	350	LR	124
11151.20130408.1.14	1	240	1	267	LR	121
11151.20130408.1.15	1	167	1	183	LR	123
11151.20130408.1.16	1	157	1	167	LR	121
11151.20130408.1.17	1	319	1	317	LR	121
11151.20130408.1.18	1	462	1	483	LR	124
11151.20130408.1.19	1	240	1	233	LR	121
11151.20130408.1.20	1	264	1	250	LR	122
11151.20130408.1.21	1	142	1	150	LR	124
11151.20130408.1.22	1	207	1	200	LR	122
11151.20130408.1.23	1	218	1	217	LR	124
11151.20130408.1.24	1	260	1	283	LR	124
11151.20130408.1.25	1	290	1	317	LR	124
11151.20130408.1.26	1	167	1	167	LR	122
11151.20130408.1.27	1	152	1	150	LR	121
11151.20130408.1.28	1	299	1	300	LR	124
11151.20130408.1.29	1	147	1	133	LR	123
11151.20130408.1.30	1	130	1	117	LR	122
11151.20130408.1.31	1	167	1	183	LR	121
11151.20130408.1.32	1	287	-1	-1	LR	122
11151.20130408.1.33	1	137	-1	-1	LR	122
11151.20130408.1.34	1	147	1	167	LR	121
11151.20130408.1.35	1	186	1	200	LR	123
11151.20130408.1.36	1	199	1	200	LR	122
11151.20130408.1.37	1	172	1	150	LR	123
11151.20130408.1.38	1	290	1	283	LR	124
11151.20130408.1.39	1	244	1	250	LR	121
11151.20130408.1.40	1	285	1	283	LR	124
11151.20130408.1.41	1	144	1	133	LR	123
11151.20130408.1.42	1	221	1	217	LR	123
11151.20130408.1.43	1	130	1	150	LR	121
11151.20130408.1.44	1	307	1	300	LR	124
11151.20130408.1.45	1	149	1	167	LR	123
11151.20130408.1.46	1	176	1	167	LR	122
11151.20130408.1.47	1	159	1	150	LR	123
11151.20130408.1.48	1	244	1	267	LR	124
11143.20130304.1.1	1	243	1	183	RC	124
11143.20130304.1.2	1	135	1	133	RC	123
11143.20130304.1.3	1	130	1	117	RC	122
11143.20130304.1.4	1	157	1	133	RC	123
11143.20130304.1.5	1	152	1	133	RC	123
11143.20130304.1.6	1	221	1	217	RC	121
11143.20130304.1.7	1	137	1	117	RC	123
11143.20130304.1.8	1	NA	-1	-1	RC	124
11143.20130304.1.9	1	125	1	117	RC	122
11143.20130304.1.10	1	157	1	167	RC	124
11143.20130304.1.11	1	NA	-1	-1	RC	121
11143.20130304.1.12	1	147	-1	-1	RC	122
11143.20130304.1.13	1	134	-1	-1	RC	124
11143.20130304.1.14	1	113	1	100	RC	122
11143.20130304.1.15	1	130	1	150	RC	121
11143.20130304.1.16	1	NA	-1	-1	RC	121
11143.20130304.1.17	1	125	1	117	RC	122
11143.20130304.1.18	1	125	1	133	RC	122
11143.20130304.1.19	1	152	1	167	RC	122
11143.20130304.1.20	1	147	1	167	RC	121
11143.20130304.1.21	1	NA	-1	-1	RC	124
11143.20130304.1.22	1	137	1	133	RC	121
11143.20130304.1.23	1	147	-1	-1	RC	121
11143.20130304.1.24	1	211	-1	-1	RC	123
11143.20130304.1.25	1	142	1	133	RC	122
11143.20130304.1.26	1	122	-1	-1	RC	121
11143.20130304.1.27	1	115	1	133	RC	121
11143.20130304.1.28	1	164	1	50	RC	123
11143.20130304.1.29	1	137	1	117	RC	123
11143.20130304.1.30	-1	-1	-1	-1	RC	
11143.20130304.1.31	1	239	1	200	RC	123
11143.20130304.1.32	1	NA	-1	-1	RC	124
11143.20130304.1.33	1	186	-1	-1	RC	124
11143.20130304.1.34	-1	-1	-1	-1	RC	
11143.20130304.1.35	1	190	-1	-1	RC	121
11143.20130304.1.36	1	140	-1	-1	RC	123
11143.20130304.1.37	1	103	-1	-1	RC	124
11143.20130304.1.38	1	159	1	133	RC	123
11143.20130304.1.39	1	159	1	133	RC	123
11143.20130304.1.40	1	149	1	150	RC	124
11143.20130304.1.41	1	127	1	117	RC	122
11143.20130304.1.42	1	179	1	183	RC	121
11143.20130304.1.43	1	122	1	133	RC	122
11143.20130304.1.44	1	169	-1	-1	RC	124
11143.20130304.1.45	1	157	1	150	RC	122
11143.20130304.1.46	1	NA	-1	-1	RC	124
11143.20130304.1.47	1	144	1	150	RC	121
11143.20130304.1.48	1	140	1	150	RC	122
11116.20130123.1.1	-1	-1	1	150	RC	
11116.20130123.1.2	1	167	1	167	RC	123
11116.20130123.1.3	1	186	1	183	RC	122
11116.20130123.1.4	1	199	1	200	RC	122
11116.20130123.1.5	1	204	1	217	RC	122
11116.20130123.1.6	1	245	1	250	RC	124
11116.20130123.1.7	1	299	-1	-1	RC	122
11116.20130123.1.8	-1	-1	1	300	RC	
11116.20130123.1.9	1	334	1	300	RC	124
11116.20130123.1.10	1	341	1	350	RC	124
11116.20130123.1.11	1	110	1	133	RC	123
11116.20130123.1.12	1	137	1	150	RC	123
11116.20130123.1.13	1	245	1	233	RC	124
